,Sentence,Business meeting,Coincidence,Education,Music making,Personal life,Public celebration
0,"Ingar Zach (born 29 June 1971 in Oslo, Norway) is a Norwegian percussionist and businessman, known from several recordings.",9.470693e-06,8.107178e-09,7.041807e-10,1.7055013e-06,0.99998474,4.0563386e-06
1,==,0.12487865,0.2134413,0.001371599,0.0017026742,0.65860564,7.902395e-08
2,Career ==,1.0,4.7553845e-13,2.1761395e-17,4.5407397e-19,9.245235e-14,7.686067e-12
3,"In the 1990s Zach played within Chateau Neuf Spelemannslag and 'Harnihomba', while studying music at the University of Oslo (1993) and composition on Jazz program at Trondheim Musikkonsevatorium (1994–97).",0.0005574897,0.0012157937,0.0352048,0.8533698,0.10965114,1.0628503e-06
4,Within the trio 'Tri-Dim' (1997–2000) he released two albums together with Håkon Kornstad (saxophone) and David Stackenäs (guitar).,0.0015858863,0.007153359,0.5091374,0.4821101,1.3318067e-05,1.0524928e-10
5,"With the steel guitarist Ivar Grydeland he established the record label Sofa, releasing improvisational music (2000), a collaboration that led to a master's degree in improvisation (2004) and the trio Huntsville including with Tonny Kluften (five albums, 2013).",0.10111669,3.8963553e-06,0.0008424616,0.8979978,3.9142637e-05,4.8128015e-08
6,"Zach also collaborated in a duo with free jazz guitarist Derek Bailey (1930–2005), the Norwegian ditto Anders Hana, within the Norwegian trio 'No Spaghetti Edition' (four releases), and in the two orchestras Batagraf and Magnetic North Orchestra led by Jon Balke.",0.06225568,1.47355495e-05,1.4929471e-08,0.76161015,0.1761193,1.08019265e-07
7,In addition Zach has played on releases by Karl Seglem and Carl Petter Opsahl.,6.629057e-06,4.448111e-08,1.3499559e-08,0.99999285,5.1095043e-07,4.6595662e-14
8,"He lives in Madrid (2004), from which he runs the record label Sillòn of solo albums (subsidiary of Sofa, which is now headed by Grydeland).",0.9999553,6.5058146e-07,4.385281e-05,7.0345465e-08,4.645276e-09,8.0806835e-08
9,==,0.12487865,0.2134413,0.001371599,0.0017026742,0.65860564,7.902395e-08
10,Discography ==,0.9999943,1.2030889e-08,8.3585106e-10,5.36193e-06,2.8148082e-09,3.2554374e-07
11,===,0.0018068925,2.1080356e-05,2.7498634e-05,0.00044118572,0.9977034,1.2509472e-11
12,Solo albums ===,0.98622906,9.923665e-10,5.7720563e-08,0.013759717,1.1116077e-05,2.5607641e-11
13,Within 'Mural' including Kim Myhr and Jim Denley2010: Nectars of Emergence (Sofa Records),0.0008835289,0.9985201,0.00017085114,8.3724444e-07,0.0004202627,4.3773775e-06
14,2011: Live at the Rothko Chapel (Rothko Chapel Productions),0.0018570661,0.17266098,0.0058818804,0.8195639,6.7503715e-06,2.9416246e-05
15,===,0.0018068915,2.1080356e-05,2.749861e-05,0.00044118572,0.9977034,1.2509472e-11
16,Collaborations ===,0.0005801741,6.455529e-06,0.9991738,2.0808853e-05,1.7319566e-06,0.0002169137
17,Duo with Ivar Grydeland2000:,2.0720715e-06,2.5920868e-09,9.404088e-09,2.659035e-06,0.99999523,7.3316953e-09
18,Visiting Ants (Sofa Records),0.000118834774,0.12777814,2.2344206e-08,0.0036981374,0.8684046,2.4922596e-07
19,2004:,0.07335648,0.0011896013,5.2147985e-08,0.0011945997,3.2893953e-05,0.92422634
