,Sentence,Business meeting,Coincidence,Education,Music making,Personal life,Public celebration
0,"Margareta Svensson Riggs (born Ulla Margareta Elisabeth Svensson; April 22, 1968 in Varberg) is a Swedish singer, pianist, songwriter, actress, voice teacher, vocal coach and television personality.",0.00044376613,8.6273685e-06,0.0009035117,3.469385e-08,0.99864393,1.3552292e-07
1,==,0.12487799,0.21344264,0.0013716135,0.0017026799,0.65860504,7.90238e-08
2,Early life ==,0.0019447282,0.14564982,0.022118477,4.726933e-06,0.8208643,0.009417961
3,"Already as a 5-year-old, Svensson performed her first public performance at a Red Cross Christmas party, and soon thereafter she went with her mother, Inga-Lill Svensson, a registered nurse, to sing for the sick and elderly at the local hospital.",5.7500924e-06,4.316772e-08,0.0012982946,9.39996e-06,0.99868387,2.628124e-06
4,"With an extensive after-school music program and busy performing schedule, Svensson went on to study dance at Harvard University, and acting at Calle Flygare Teaterskola, Stockholm, Sweden, acting, musical theater, and film and television at Tisch School of the Arts, NYU.",3.1545894e-06,2.2442885e-07,0.99999666,5.975304e-10,2.574892e-10,3.2921688e-10
5,==,0.12487809,0.21344268,0.0013716145,0.0017026803,0.65860486,7.902394e-08
6,Career ==,1.0,4.755348e-13,2.1761231e-17,4.5407227e-19,9.245165e-14,7.685994e-12
7,"At 18, Svensson boarded Portuguese cruise ship MS Funchal as a singer-pianist and a headliner, and from there on she performed throughout Sweden and Europe.",0.0041207555,0.00066493545,0.5245568,0.47065392,2.074832e-06,1.480456e-06
8,"While playing Gothia Towers in Gothenburg, Frank Sinatra was performing next-door at Scandinavium.",2.1347735e-10,1.2490809e-08,8.942593e-09,1.0,1.2034526e-10,3.6272268e-13
9,After the concert the Sinatra band came to see Svensson.,0.0004261485,0.30954462,0.000401513,0.689623,4.6169744e-06,9.4106454e-08
10,"Sinatra-drummer, Gregg Field, liked Svensson's original music and invited her to come to Los Angeles to record.",0.18181838,0.48135582,0.33680144,2.1032945e-05,3.1064574e-06,3.5795685e-07
11,As a singer-pianist Margareta Svensson has opened five casino resorts in Las Vegas.,0.61730826,2.236418e-05,0.18068434,0.20131572,0.00057328213,9.612941e-05
12,"National, daily, Swedish newspaper Expressen wrote ""Jackpot in Las Vegas"".",3.136741e-05,0.99355906,0.00023515418,0.0050576804,0.00023475467,0.00088202546
13,"In 1999, Svensson opened Mandalay Bay alongside Bob Dylan and Luciano Pavarotti, The Venetian Las Vegas where she had her own act at La Scena, The Resort at Summerlin (now known as JW Marriott Las Vegas Resort and Spa,) in the year 2000 The Aladdin (now known as Planet Hollywood Resort & Casino) and in 2005 Steve Wynn recruited her to open Wynn Las Vegas.",0.970909,2.0985524e-05,7.9968316e-08,8.3817235e-05,7.107959e-08,0.028986035
14,"She has held engagements at numerous other Las Vegas casinos and resorts, including MGM Grand Las Vegas, Bellagio, The Mirage, Treasure Island Hotel and Casino, Monte Carlo Resort and Casino, Bally's Las Vegas and Encore Las Vegas.",0.6261557,0.17093366,4.939495e-07,0.18831474,6.060391e-10,0.014595418
15,"Svensson has also performed and held resident engagements at among other places The Grand Hotel Stockholm, Sweden, The Dorchester, London, UK, The Beverly Hills Hotel Polo Lounge, The Beverly Wilshire Hotel, and Montage Beverly Hills where she was responsible for all music, and she has traveled the world both as a headliner as well as a piano-singer, and performed for many superstars, including Sir Paul McCartney, Whoopi Goldberg, Stevie Wonder, Chevy Chase, Michael Bolton, BB King, Sir Tom Jones and Kiss and world leaders like Margaret Thatcher, to name a few.",0.11137007,0.0050368253,0.87798154,0.0009145618,3.8236103e-06,0.0046931384
16,"She continues to write, record and perform her original music.",0.0007615693,5.4604445e-08,0.0013441094,0.99789435,1.1224402e-11,4.412063e-11
17,===,0.0018069104,2.1080758e-05,2.7498896e-05,0.00044119143,0.9977034,1.2509519e-11
18,Svenska Hollywoodfruar ===,0.17441694,4.7166773e-07,1.8116835e-07,5.5648673e-08,0.760833,0.064749256
19,"Her extensive career as a singer-pianist and performer, led to a lead on the fifth season of Svenska Hollywoodfruar broadcast on TV3 Sweden.",0.99992454,3.199962e-10,6.446092e-09,3.6427682e-05,3.7398742e-05,1.4959011e-06
20,"Season 5 had the highest ratings of the 13 seasons, (source MMS.se,) and season 5 is claimed to have saved the network at the time.",0.9994754,0.0004468611,6.939678e-08,6.3043412e-06,1.5582104e-05,5.564334e-05
21,"Svenska Hollywoodfruar features Svensson both as a singer, pianist, performer, songwriter and recording artist, as well as a vocal coach.",0.106976725,1.7074875e-06,0.8897293,4.633401e-06,0.0032873957,1.8901433e-07
