sentenceIndex,URI,support,types,similarityScore,percentageOfSecondRank,sentence,paragraphIndex,section,entType,wikiPageID,offset,entity
1,http://dbpedia.org/resource/Hector_Berlioz,,"DBpedia:Person,DBpedia:MusicalArtist",,,"Paganini became a violinist for the Baciocchi court, while giving private lessons to Elisa's husband, Felice.",6,== Biography == | === Early career ===,person,21511,0,Berlioz
2,http://dbpedia.org/resource/Hector_Berlioz,,"DBpedia:Person,DBpedia:MusicalArtist",,,"He accepted students, of whom two enjoyed moderate success: violinist Camillo Sivori and cellist Gaetano Ciandelli.",13,== Biography == | === Late career and health decline ===,person,21511,0,Berlioz
3,http://dbpedia.org/resource/Hector_Berlioz,,"DBpedia:Person,DBpedia:MusicalArtist",,,"Around the same time, Durand, a former student of Giovanni Battista Viotti (1755–1824), became a celebrated violinist.",28,== Playing style == | === Violin technique ===,person,21511,0,Berlioz
