paragraph,paragraphIndex,section
"Mie Sonozaki (園崎 未恵, Sonozaki Mie, born February 7, 1973) is a Japanese actress, voice actress and singer from Tokyo, Japan. She is best known for her role as Arle Nadja in the long-running video game series, Puyo Puyo. She is also the official Japanese dubbing roles for Hayley Atwell, Elisha Cuthbert, Kirsten Dunst and many more.
",0,N/A
"== Filmography ==
",1,== Filmography ==
"=== Television animation ===
",2,== Filmography == | === Television animation ===
"1997Dragoon (Bubb)1998Legend of Basara (Shinbashi)1999Elf ban Kakyuusei (Miyuki Iijima)
",3,== Filmography == | === Television animation ===
"To Heart (female student; school announcement; Yoshii)2000Doki Doki Densetsu Mahōjin Guru Guru (Star Soldier; little girl)
",4,== Filmography == | === Television animation ===
"Yu-Gi-Oh! Duel Monsters (Kenta)2001The Legend of Condor Hero (Shouryuujo)
",5,== Filmography == | === Television animation ===
"Comic Party (Aya Hasebe; Mayu Yumeji)
",6,== Filmography == | === Television animation ===
"Steel Angel Kurumi 2 (Uruka Sumeragi)2002Beyblade V-Force (Queen)
",7,== Filmography == | === Television animation ===
"Cyborg 009 (Lina)
",8,== Filmography == | === Television animation ===
"Gun Frontier (Maya Yukikaze; Tarou)
",9,== Filmography == | === Television animation ===
"Happy Lesson (Hazuki Yazakura; Female Student)
",10,== Filmography == | === Television animation ===
"Whistle! (Akira Saionji)2003Kino's Journey (Female Examiner)2004Bleach (Sode no Shirayuki)
",11,== Filmography == | === Television animation ===
"Burst Angel (Nadeshiko)
",12,== Filmography == | === Television animation ===
"Diamond Daydreams (Jun)
",13,== Filmography == | === Television animation ===
"Gantz (Sei Sakuraoka; High School Girl; Young Kurono)2005MÄR (Chimera)
",14,== Filmography == | === Television animation ===
"Sugar Sugar Rune (Prattle)2006Bakumatsu Kikansetsu Irohanihoheto (Kotoha)
",15,== Filmography == | === Television animation ===
"Glass Fleet (Mischka)
",16,== Filmography == | === Television animation ===
"Humanoid Monster Bem (Urara Hinata)
",17,== Filmography == | === Television animation ===
"The Story of Saiunkoku (Kou Shoukun)
",18,== Filmography == | === Television animation ===
"xxxHolic (Voice)
",19,== Filmography == | === Television animation ===
"Yoshinaga-san Chi no Gargoyle (Kayanai)
",20,== Filmography == | === Television animation ===
"Witchblade (Reina ""Lady"" Soho)2007Naruto Shippuden (Yugito Nii, Kokuō)
",21,== Filmography == | === Television animation ===
"Ghost Hunt (Youko Yoshimi)
",22,== Filmography == | === Television animation ===
"Romeo × Juliet (Lancelot's Wife)2008Naruto Shippuden (Yugito Nii, Kokuo)
",23,== Filmography == | === Television animation ===
"Strike Witches (Gertrud Barkhorn)2009Isekai no Seikishi Monogatari (Yukine Mare)2011Beyblade: Metal Fury (Ryuto)2012Kingdom (Yo Tan Wa)2013Vividred Operation (Crow)
",24,== Filmography == | === Television animation ===
"Yu-Gi-Oh! Zexal II (Umimi Habara)2014Your Lie in April (Hiroko Seto)
",25,== Filmography == | === Television animation ===
"One Piece (Violet)
",26,== Filmography == | === Television animation ===
"Yu-Gi-Oh! Arc-V (Sora Shiun'in)2016Kiznaiver (Mutsumi ""Urushy"" Urushibara)2017Princess Principal (Zelda)2018My Hero Academia (Nana Shimura)
",27,== Filmography == | === Television animation ===
"Legend of the Galactic Heroes: Die Neue These (Dominique Saint-Pierré)2019Fairy Gone (Nein Auraa)
",28,== Filmography == | === Television animation ===
"Fruits Basket (Tohru's Aunt)
",29,== Filmography == | === Television animation ===
"Strike Witches 501st Unit, Taking Off! (Gertrud Barkhorn)
",30,== Filmography == | === Television animation ===
"Star Twinkle PreCure (Darknest/Ophiuchus)2020Great Pretender (Cynthia Moore)
",31,== Filmography == | === Television animation ===
"Digimon Adventure: (Yuuko Kamiya/Gatomon/Skullknightmon/Axeknightmon)2021World Trigger 2nd Season (Wen Sō)
",32,== Filmography == | === Television animation ===
"SK8 the Infinity (Nanako Hasegawa)
",33,== Filmography == | === Television animation ===
"Edens Zero (Madame Kurenai)2022The Greatest Demon Lord Is Reborn as a Typical Nobody (Olivia vel Vine)
",34,== Filmography == | === Television animation ===
"=== Original video animation ===
",35,== Filmography == | === Original video animation ===
"YU-NO (1998) (Eriko Takeda)
",36,== Filmography == | === Original video animation ===
"Refrain Blue (2000) (Mystic Girl)
",37,== Filmography == | === Original video animation ===
"Tenbatsu! Angel Rabbie (2004) (Arte Sema)
",38,== Filmography == | === Original video animation ===
"Naruto Special: Battle at Hidden Falls (2004) (Himatsu)
",39,== Filmography == | === Original video animation ===
"Growlanser IV (2005) (Dianna Silvernale)
",40,== Filmography == | === Original video animation ===
"Stratos 4 Advance (2006) (Nakamura Saiun)
",41,== Filmography == | === Original video animation ===
"=== Original net animation ===
",42,== Filmography == | === Original net animation ===
"Pokémon Evolutions (2021) (Lusamine)
",43,== Filmography == | === Original net animation ===
"=== Theatrical animation ===
",44,== Filmography == | === Theatrical animation ===
"Strike Witches: The Movie (2012) (Gertrud Barkhorn)
",45,== Filmography == | === Theatrical animation ===
"Bayonetta: Bloody Fate (2013) (Jeanne)
",46,== Filmography == | === Theatrical animation ===
"Cyborg 009 VS Devilman (2015) (Daemon Lilith)
",47,== Filmography == | === Theatrical animation ===
"=== Video games ===
",48,== Filmography == | === Video games ===
"Twins Story: Kimi ni Tsutaetakute (1998) (Shinnosuke Nakamura)
",49,== Filmography == | === Video games ===
"Shadow Hearts (2001) (Margarete Gertrude Zelle)
",50,== Filmography == | === Video games ===
"Growlanser IV (2003) (Dianna Silvernale)
",51,== Filmography == | === Video games ===
"Puyo Puyo series (2003–2020) (Arle Nadja, Klug)
",52,== Filmography == | === Video games ===
"Sakura Taisen V (2005) (Subaru Kujo)
",53,== Filmography == | === Video games ===
"Tales of Legendia (2005) (Stella Telmes)
",54,== Filmography == | === Video games ===
"Final Fantasy XII (2006) (Ashe B'nargin Dalmasca)
",55,== Filmography == | === Video games ===
"Eternal Sonata (2007) (Claves)
",56,== Filmography == | === Video games ===
"Luminous Arc (2007) (Saki)
",57,== Filmography == | === Video games ===
"Street Fighter IV (2008) (Crimson Viper)
",58,== Filmography == | === Video games ===
"BioShock (2008) (Brigid Tenenbaum)
",59,== Filmography == | === Video games ===
"Bayonetta (2009) (Wii U version) (Jeanne)
",60,== Filmography == | === Video games ===
"Final Fantasy XIII (2009) (Jihl Nabaat)
",61,== Filmography == | === Video games ===
"Fragile Dreams: Farewell Ruins of the Moon (2009) (Crow)
",62,== Filmography == | === Video games ===
