paragraph,paragraphIndex,section
"Finn McNicholas aka Ultre (born 26 September 1981)  is an electronic music musician from England.
",0,N/A
"== Discography ==
",1,== Discography ==
"=== Albums ===
",2,== Discography == | === Albums ===
"2010 Tape/Recorder
",3,== Discography == | === Albums ===
"=== EP's ===
",4,== Discography == | === EP's ===
"2009 Watch Your Thoughts EP Northern Resource records
",5,== Discography == | === EP's ===
"=== Singles and promos ===
",6,== Discography == | === Singles and promos ===
"2009 Watch Your Thoughts EP (promo, 12"") Mesk Records
",7,== Discography == | === Singles and promos ===
"=== Videos ===
",8,== Discography == | === Videos ===
"2007 Ultre – Ionisation (Short film directed by Flat-e)
",9,== Discography == | === Videos ===
"2007 Ultre – Shadowplay (Short film directed by Flat-e)
",10,== Discography == | === Videos ===
"=== Tracks appear on ===
",11,== Discography == | === Tracks appear on ===
"2006 Another Generic Label Sampler Vol. 1,000,000 Concrete Plastic
",12,== Discography == | === Tracks appear on ===
"2006 Overkill
",13,== Discography == | === Tracks appear on ===
"2006 Exhibition #3 Audiobulb Records
",14,== Discography == | === Tracks appear on ===
