paragraph,paragraphIndex,section
"Tony Buck (born 1962) is an Australian drummer and percussionist. He graduated from the New South Wales Conservatorium of Music (now Sydney Conservatorium of Music), becoming involved in the Australian jazz scene.
",0,N/A
"Buck played in Great White Noise with Michael Sheridan and Sandy Evans during 1983, then Women and Children First with Sandy Evans. He is a founding member of The Necks with Chris Abrahams and Lloyd Swanton since 1987. He is leader of Peril, who he formed in Japan with Otomo Yoshihide and Kato Hideki, and astroPeril.  He also formed the short lived L'Beato in the early 1990s, an industrial-oriented outfit reminiscent of Tackhead, which released one EP ""The Piston Song"".
",1,N/A
"In the early 1990s, Buck moved from Australia to Amsterdam and later moved to Berlin.
",2,N/A
"== Discography ==
",3,== Discography ==
"The Shape of Things to Come (1989)
",4,== Discography ==
"Solo Live (1994)
",5,== Discography ==
"Self_contained_underwater_breathing_apparatus
",6,== Discography ==
"Projekt Transmit (2009)
",7,== Discography ==
"Knoxville (Christian Fennesz / David Daniell / Tony Buck, 2010)
",8,== Discography ==
"Flatbosc & Cautery (Frank Gratkowski, Achim Kaufmann, Wilbert De Joode, Tony Buck, NoBusiness 2020)
",9,== Discography ==
"== With The Necks ==
",10,== With The Necks ==
"Sex (Spiral Scratch, 1989)
",11,== With The Necks ==
"Next (Spiral Scratch, 1990)
",12,== With The Necks ==
"Aquatic (Fish of Milk/Shock, 1994)
",13,== With The Necks ==
"Silent Night (Fish of Milk/Shock, 1996)
",14,== With The Necks ==
"The Boys (original soundtrack) (Wild Sound/MDS, 1998)
",15,== With The Necks ==
"Piano Bass Drums (Fish of Milk/Shock, 1998)
",16,== With The Necks ==
"Hanging Gardens (Fish of Milk/Shock/ReR Megacorp, 1999)
",17,== With The Necks ==
"Aether (Fish of Milk/Shock/ReR Megacorp, 2001)
",18,== With The Necks ==
"Athenaeum, Homebush, Quay & Raab (Fish of Milk/Shock, 2002)
",19,== With The Necks ==
"Photosynthetic (Long Arms, 2003)
",20,== With The Necks ==
"Drive By (Fish of Milk/Shock/ReR Megacorp, 2003)
",21,== With The Necks ==
"Mosquito/See Through (Fish of Milk/ReR Megacorp, 2004)
",22,== With The Necks ==
"Chemist (Fish of Milk/Shock/ReR Megacorp, 2006)
",23,== With The Necks ==
"Townsville (Fish of Milk/ReR Megacorp, 2007)
",24,== With The Necks ==
"Silverwater (Fish of Milk/ReR Megacorp, 2009)
",25,== With The Necks ==
"Strade Trasparenti (Staubgold, 2011)
",26,== With The Necks ==
"Mindset (Fish of Milk/ReR Megacorp, 2011)
",27,== With The Necks ==
"Open (Fish of Milk/ReR Megacorp, 2013)
",28,== With The Necks ==
"Vertigo (Fish of Milk/ReR Megacorp, 2015) – a single disc-length track of the same name. Their second album to be released on vinyl.
",29,== With The Necks ==
"Unfold (Ideologic Organ, 2017)
",30,== With The Necks ==
"Body (Fish of Milk/Northern Spy, 2018)
",31,== With The Necks ==
"Three (Fish of Milk/Northern Spy/ReR Megacorp, 2020)
",32,== With The Necks ==
"== References ==
",33,== References ==
"== External links ==
",34,== External links ==
Tony Buck discography at Discogs Archived 23 July 2014 at the Wayback Machine,35,== External links ==
