paragraph,paragraphIndex,section
"Alicia Urreta (12 October 1930 – 20 December 1986) was a Mexican pianist, music educator and composer.
",0,N/A
"== Biography ==
",1,== Biography ==
"Alicia Urreta was born in Veracruz, Veracruz. In 1952 she entered the Conservatorio Nacional de Música in Mexico City, studying harmony with Rodolfo Halffter, and other topics under Hernández Moncada, León Mariscal, and Sandor Roth. In 1969, she studied with Jean-Etienne Marie at Schola Cantorum of Paris, France. She also studied piano instruction from Alfred Brendel and Alicia de Larrocha. She later worked as a concert pianist for the Orquesta Sinfónica Nacional. She also taught at the University of Mexico and was an instructor in acoustics at the Instituto Politécnico Nacional of Mexico City. Urreta established the National Symphony Orchestra (1975), was the general Coordinator of the National Opera Company of INBA. music coordinator of the Casa del Lago, musical performances director of the National Autonomous University of Mexico and founder of the Camerata of Mexico. In 1984, she had begun organizing musical festivals to promote Mexican and Spanish contemporary music, collaborating with Spanish composer Cruz de Castro. She premiered her Concerto for Piano and Orchestra with Orquesta Sinfónica Nacional in 1982. She died in Mexico City in 1987.
",2,== Biography ==
"== Works ==
",3,== Works ==
"Urreta composed, among other works, a chamber opera, five ballets, pieces for solo instruments, a cantata, incidental music, a musique concrète composition for Noh theater and film scores.
",4,== Works ==
"=== Stage ===
",5,== Works == | === Stage ===
"Cubos ballet
",6,== Works == | === Stage ===
"Luiz negra ballet
",7,== Works == | === Stage ===
"Mujer flor ballet
",8,== Works == | === Stage ===
"Un día de Luis ballet with electronics
",9,== Works == | === Stage ===
"Tantra ballet with musique concrète
",10,== Works == | === Stage ===
"Cante, homenaje a Manuel de Falla for actors, singers, three dancers, slides, percussion and tape, 1976
",11,== Works == | === Stage ===
"Romance do Doña Balada opera, 1973
",12,== Works == | === Stage ===
"=== Orchestral ===
",13,== Works == | === Orchestral ===
"Ralenti for tape, 1969
",14,== Works == | === Orchestral ===
"Arcana, concerto for amplified piano and orchestra
",15,== Works == | === Orchestral ===
"=== Chamber ===
",16,== Works == | === Chamber ===
"Homage for string quartet
",17,== Works == | === Chamber ===
"Estudio sobre una guitarra for tape
",18,== Works == | === Chamber ===
"Salmodia II for piano and tape, 1980
",19,== Works == | === Chamber ===
"De Natura mortis o la Verdadera historia de Caperucita Roja for narrator, instruments, and tape, 1971
",20,== Works == | === Chamber ===
"Selva de Pájaros for tape, 1978
",21,== Works == | === Chamber ===
"Dameros II for tape, 1984
",22,== Works == | === Chamber ===
"Dameros III for tape, 1985
",23,== Works == | === Chamber ===
== References ==,24,== References ==
