paragraph,paragraphIndex,section
"Ivan Pedersen  (born April 22, 1950) is a Danish composer.
",0,N/A
"== Discography ==
",1,== Discography ==
"=== With McKinleys ===
",2,== Discography == | === With McKinleys ===
"1973: Pick Up Passion
",3,== Discography == | === With McKinleys ===
"1977: McKinleys
",4,== Discography == | === With McKinleys ===
"1978: Ballroom Heroes
",5,== Discography == | === With McKinleys ===
"1979: New Shoes for the Old Suit
",6,== Discography == | === With McKinleys ===
"1980: Robin Hood
",7,== Discography == | === With McKinleys ===
"1993: McKinleys 16 Hits
",8,== Discography == | === With McKinleys ===
"1993: McKinleys 16 Hits Vol. 2
",9,== Discography == | === With McKinleys ===
"=== With Laban ===
",10,== Discography == | === With Laban ===
"1982: Laban
",11,== Discography == | === With Laban ===
"1983: Laban 2
",12,== Discography == | === With Laban ===
"1984: Laban 3
",13,== Discography == | === With Laban ===
"1985: Laban's bedste
",14,== Discography == | === With Laban ===
"1985: Laban 4
",15,== Discography == | === With Laban ===
"1986: Caught by surprise
",16,== Discography == | === With Laban ===
"1987: Laban 5
",17,== Discography == | === With Laban ===
"1987: Roulette
",18,== Discography == | === With Laban ===
"1988: Greatest hits
",19,== Discography == | === With Laban ===
"1997: De største narrestreger
",20,== Discography == | === With Laban ===
"2009: De 36 bedste narrestreger
",21,== Discography == | === With Laban ===
"2010: Komplet & rariteter
",22,== Discography == | === With Laban ===
"=== With Backseat ===
",23,== Discography == | === With Backseat ===
"1992: Wind Me Up
",24,== Discography == | === With Backseat ===
"1994: Long Distance
",25,== Discography == | === With Backseat ===
"1995: Hit Home
",26,== Discography == | === With Backseat ===
"1996: Songs
",27,== Discography == | === With Backseat ===
"1998: Shut Up and Play
",28,== Discography == | === With Backseat ===
"2007: Globalization
",29,== Discography == | === With Backseat ===
"=== Solo ===
",30,== Discography == | === Solo ===
"2001: Monogram
",31,== Discography == | === Solo ===
"2004: Udenfor nummer men venlig stemt
",32,== Discography == | === Solo ===
"2006: Memo - 40 års jubilæumsbox
",33,== Discography == | === Solo ===
