paragraph,paragraphIndex,section
"Mike Dupke (pronounced ""DUPP-kee"") is an American drummer who has played with bands W.A.S.P. and John Mellencamp.
",0,N/A
"== Career ==
",1,== Career ==
"=== Early Years ===
",2,== Career == | === Early Years ===
"As an undergraduate at Indiana University School of Music, he studied with drummer Kenny Aronoff.  At 19 years old, Dupke played percussion in John Mellencamp's band alongside Kenny for a short time in 1993, performing on the MTV ""Human Wheels"" special, The Arsenio Hall Show, and the music video for ""When Jesus Left Birmingham"".
",3,== Career == | === Early Years ===
"=== John Mellencamp ===
",4,== Career == | === John Mellencamp ===
"He played drums on ""L.U.V."" from John Mellencamp's Dance Naked and ""Gambling Bar Room Blues"" on ""The Songs of Jimmie Rodgers - A Tribute"".
",5,== Career == | === John Mellencamp ===
"=== W.A.S.P. ===
",6,== Career == | === W.A.S.P. ===
"He joined W.A.S.P. in May 2006, replacing drummer Stet Howland (1991–2005/February 2006) in early 2006.  Dupke made his recording debut with W.A.S.P. on 2007's ""Dominator"" cd. In July 2015, Dupke announced his departure from W.A.S.P. after 9 years.
",7,== Career == | === W.A.S.P. ===
"=== Dee Snider ===
",8,== Career == | === Dee Snider ===
"In August 2017 Dupke began playing with Dee Snider.
",9,== Career == | === Dee Snider ===
"=== Other Projects ===
",10,== Career == | === Other Projects ===
"Dupke was also the drummer in the band Hair of the Dog who was signed to Spitfire Records and released two albums, Rise in 2000 and Ignite in 2001.  Dupke and bassist Mike Duda (also of W.A.S.P.) joined Alex Grossi's band Hotel Diablo in 2011 featuring Rick Stitch on vocals and Grossi on guitar.  In July 2012 the band had signed a record deal with Scarlet Records.  They released their debut album Return to Psycho, California in September 2012.
",11,== Career == | === Other Projects ===
"=== Personal life ===
",12,== Career == | === Personal life ===
He is a long-time fan of KISS.  Dupke is also married with a son.,13,== Career == | === Personal life ===
