paragraph,paragraphIndex,section
"Beau, born Christopher John Trevor Midgley, is a British singer-songwriter and twelve-string guitar player, who first became known in the late 1960s through his recordings for John Peel's Dandelion Records label. He released two albums on Dandelion – Beau (1969) and Creation (1971) (which featured Jim Milne and Steve Clayton from Tractor as backing musicians on some tracks), plus the single ""1917 Revolution"" which had greater success abroad than it did in the United Kingdom. ""1917 Revolution"" is said to have been the inspiration for America's ""A Horse with No Name"".
",0,N/A
"His best known song however is probably ""The Roses of Eyam"" (written under the name of John Trevor) which folk singer Roy Bailey took around the world and which he recorded on his Hard Times LP in 1985. This version was subsequently re-released on Bailey's Past Masters CD in 1998. Beau himself released the song officially for the first time as a bonus track on the 2007 British reissue of the original Beau disc (Cherry Red), and on the 2008 Japanese release of the same album (Airmail Recordings).
",1,N/A
"A CD of eighteen previously unissued songs – Edge of the Dark – was issued on the Angel Air label in 2009, followed in 2011 by the Cherry Red download albums The Way It Was and Creation Recreated. The latter was a remastered, partially remixed and much expanded version of 1971's Creation. Beau also contributed a previously unreleased song – In The Court of Conscience – to vinyl specialist Fruits de Mer Records' 2012 Annual, and a 180gram vinyl version of The Way It Was was issued by Ritual Echo Records in 2012.
",2,N/A
"A download album – Fables & Façades – was also released in 2012 on the Cherry Red label. An unusual departure, this was made up of eighteen mostly full-band arrangements recorded between 1978 and 2000.
",3,N/A
"Beau has produced several hundred songs - newly recorded albums continue to be released by Cherry Red for both download and streaming - and he has also recorded under the names of John Trevor, Trevor Midgley and Simfonica. Though mostly known as a ""folk"" performer, his writing has also been strongly influenced by blues and rock. He co-wrote ""WARHOL – The Musical"" with Steve Clayton of the band Tractor.
",4,N/A
"== List of work ==
",5,== List of work ==
"=== Discography ===
",6,== List of work == | === Discography ===
"1917 Revolution [single] (Dandelion, 1969)
",7,== List of work == | === Discography ===
"Beau (Dandelion, 1969)
",8,== List of work == | === Discography ===
"1917 Revolution [single] (Dandelion (Netherlands), 1970)
",9,== List of work == | === Discography ===
"Creation (Dandelion, 1971)
",10,== List of work == | === Discography ===
"Creation/Beau (See For Miles, 1995)
",11,== List of work == | === Discography ===
"Beau (Cherry Red, 2007)
",12,== List of work == | === Discography ===
"Beau (Air Mail Archive (Japan), 2008)
",13,== List of work == | === Discography ===
"Creation (Air Mail Archive (Japan), 2008)
",14,== List of work == | === Discography ===
"Edge of the Dark (Angel Air, 2009)
",15,== List of work == | === Discography ===
"The Way It Was (Cherry Red, 2011)
",16,== List of work == | === Discography ===
"Creation Recreated (Cherry Red, 2011)
",17,== List of work == | === Discography ===
"The Was It Was [vinyl] (Ritual Echo, 2012)
",18,== List of work == | === Discography ===
"Fables & Façades (Cherry Red, 2012)
",19,== List of work == | === Discography ===
"Twelve Strings to the Beau [vinyl] (Salvation Records, 2013)
",20,== List of work == | === Discography ===
"Fly the Bluebird (Cherry Red, 2014)
",21,== List of work == | === Discography ===
"Recorded @ Rocker’s – The Dandelion Radio Sessions… (Local Underground, 2014)
",22,== List of work == | === Discography ===
"Creation [vinyl] (Sommor (Spain), 2015)
",23,== List of work == | === Discography ===
"Shoeless In The Desert (Cherry Red, 2015)
",24,== List of work == | === Discography ===
"An Original Thought (Cherry Red, 2016)
",25,== List of work == | === Discography ===
"Song Of The Volcanoes [as Simfonica] (Cathedral Transmissions, 2016)
",26,== List of work == | === Discography ===
"When Butterflies Scream (Cherry Red, 2017)
",27,== List of work == | === Discography ===
"Letters In Time [DVD] [as Simfonica] (TM Studios, 2017)
",28,== List of work == | === Discography ===
"Rattle The Asylum Bars (Cherry Red, 2018)
",29,== List of work == | === Discography ===
"Body Mass [as Simfonica] (TM Studios, 2018)
",30,== List of work == | === Discography ===
"Damascus Road (Cherry Red, 2019)
",31,== List of work == | === Discography ===
"The Magic Of Public Relations (Cherry Red, 2020)
",32,== List of work == | === Discography ===
"The Methadone Of Time (Cherry Red, 2021)
",33,== List of work == | === Discography ===
"Travelling The Highway [as Trevor Midgley] (Felt Production Music / Cherry Red, 2021)
",34,== List of work == | === Discography ===
"Beau [vinyl] (Trading Places (Belgium), 2021)
",35,== List of work == | === Discography ===
"=== Compilations and other recordings ===
",36,== List of work == | === Compilations and other recordings ===
"There Is Some Fun Going Forward [Compilation] (Dandelion, 1972)
",37,== List of work == | === Compilations and other recordings ===
"There Is Some Fun Going Forward… plus (See For Miles, 1995)
",38,== List of work == | === Compilations and other recordings ===
"The Dandelion Sampler (See For Miles, 1996)
",39,== List of work == | === Compilations and other recordings ===
"Life Too, Has Surface Noise – The Complete Dandelion Records Singles Collection 1969–1972 (Cherry Red, 2006)
",40,== List of work == | === Compilations and other recordings ===
"Plain Sailing: An Acoustic Alternative (Cherry Red, 2008)
",41,== List of work == | === Compilations and other recordings ===
"All For Tomorrow (Cherry Red, 2009)
",42,== List of work == | === Compilations and other recordings ===
"Favourites From John Peel's Record Collection (Cherry Red, 2011)
",43,== List of work == | === Compilations and other recordings ===
"2012 Annual (Fruits de Mer Records, 2011)
",44,== List of work == | === Compilations and other recordings ===
"Summer Folk Festival (Cherry Red, 2012)
",45,== List of work == | === Compilations and other recordings ===
"Indie Xmas (Cherry Red, 2012)
",46,== List of work == | === Compilations and other recordings ===
"The Crabs Sell Out / The Crabs Freak Out (Fruits de Mer Records, 2012)
",47,== List of work == | === Compilations and other recordings ===
"My Acoustic Valentine (Cherry Red, 2013)
",48,== List of work == | === Compilations and other recordings ===
"strange fish 5 (Fruits de Mer Records, 2013)
",49,== List of work == | === Compilations and other recordings ===
"Vintage Folk Festival Favourites (Cherry Red, 2013)
",50,== List of work == | === Compilations and other recordings ===
"A Vintage Summer Holiday (Cherry Red, 2013)
",51,== List of work == | === Compilations and other recordings ===
"Fruits de Mer Annual 2014 [with The Raiders] (Fruits de Mer Records, 2013)
",52,== List of work == | === Compilations and other recordings ===
"Love, Poetry and Revolution (Grapefruit, 2013)
",53,== List of work == | === Compilations and other recordings ===
"An Alternative Guide to Singer Songwriters (Cherry Red, 2014)
",54,== List of work == | === Compilations and other recordings ===
"Classic John Peel Collection (Cherry Red, 2014)
",55,== List of work == | === Compilations and other recordings ===
"Memories of a Folk Festival (Cherry Red, 2014)
",56,== List of work == | === Compilations and other recordings ===
"Dust On The Nettles (Grapefruit, 2015)
",57,== List of work == | === Compilations and other recordings ===
"The 13th Dream of Dr. Sardonicus Festival CD 1 (Fruits de Mer Records, 2015)
",58,== List of work == | === Compilations and other recordings ===
"The 13th Dream of Dr. Sardonicus Festival CD 3 [as Simfonica] (Fruits de Mer Records, 2015)
",59,== List of work == | === Compilations and other recordings ===
"The 14th Dream of Dr. Sardonicus - Day Two [as Simfonica] (Fruits de Mer Records, 2016)
",60,== List of work == | === Compilations and other recordings ===
"Ascending Scales [with The Honey Pot] (Fruits de Mer Records, 2017)
",61,== List of work == | === Compilations and other recordings ===
"Strangers In The Room: A Journey Through British Folk-Rock (1967-1973) (Grapefruit, 2019)
",62,== List of work == | === Compilations and other recordings ===
