paragraph,paragraphIndex,section
"Army of the Pharaohs (most commonly abbreviated as AOTP or A.O.T.P.) is a hip hop supergroup originating from Philadelphia, Pennsylvania, formed by Jedi Mind Tricks MC Vinnie Paz in 1998. The group has strong links to other underground groups such as; OuterSpace, Demigodz, Snowgoons, La Coka Nostra, JuJu Mob, Official Pistol Gang, and Jedi Mind Tricks. It has changed several times ever since its formation.
",0,N/A
"== Members ==
",1,== Members ==
"=== Original Formation ===
",2,== Members == | === Original Formation ===
"Vinnie Paz (1998–present)
",3,== Members == | === Original Formation ===
"Bahamadia (1998–1999)
",4,== Members == | === Original Formation ===
"Chief Kamachi (1998–2007)
",5,== Members == | === Original Formation ===
"Virtuoso (1998–2003)
",6,== Members == | === Original Formation ===
"Esoteric (1998–present)
",7,== Members == | === Original Formation ===
"7L (1998–2006)
",8,== Members == | === Original Formation ===
"Stoupe the Enemy of Mankind  (1998–1999)
",9,== Members == | === Original Formation ===
"=== Resurrection ===
",10,== Members == | === Resurrection ===
"Crypt the Warchild (2001–present)
",11,== Members == | === Resurrection ===
"Planetary (2001–present)
",12,== Members == | === Resurrection ===
"Celph Titled (2001–present)
",13,== Members == | === Resurrection ===
"Reef the Lost Cauze (2001–present)
",14,== Members == | === Resurrection ===
"King Syze (2001–present)
",15,== Members == | === Resurrection ===
"Des Devious (2001–2015)
",16,== Members == | === Resurrection ===
"Apathy (2001–present)
",17,== Members == | === Resurrection ===
"=== More additions and returns ===
",18,== Members == | === More additions and returns ===
"Faez One (2001–2006)
",19,== Members == | === More additions and returns ===
"Doap Nixon (2006–2020)
",20,== Members == | === More additions and returns ===
"Demoz (2006–present)
",21,== Members == | === More additions and returns ===
"King Magnetic (2006–2020)
",22,== Members == | === More additions and returns ===
"Jus Allah (2007–2010)
",23,== Members == | === More additions and returns ===
"Journalist (2009–2010)
",24,== Members == | === More additions and returns ===
"=== Even more additions ===
",25,== Members == | === Even more additions ===
"Block McCloud (2010–present)
",26,== Members == | === Even more additions ===
"Blacastan (2011–present)
",27,== Members == | === Even more additions ===
"Zilla (2011–present)
",28,== Members == | === Even more additions ===
"Lawrence Arnell (2013-present)
",29,== Members == | === Even more additions ===
"=== Timeline ===
",30,== Members == | === Timeline ===
