paragraph,paragraphIndex,section
"Ismael Rivera a.k.a. ""Maelo"" (October 5, 1931 – May 13, 1987), was a Puerto Rican composer and salsa singer.
",0,N/A
"== Early life ==
",1,== Early life ==
"Rivera was born in Santurce, Puerto Rico, a sector of San Juan, Puerto Rico.  He was the first of five children born to Luis and Margarita Rivera. His father, Luis, was a carpenter and his mother a housewife. As a child, Rivera was always singing and banging on cans with sticks. He received his primary education at the Pedro G. Goyco Elementary School and then went on to learn carpentry at a vocational school. He also shined shoes to help his family financially and when he was 16 years old, he worked as a carpenter. During his free time he would hang around the corner with his best friend Rafael Cortijo and sing songs. In 1948, Rivera and Cortijo joined El Conjunto Monterrey, where Rivera played the conga and Cortijo the bongos. Rivera was unable to work full-time as a musician because of his work as a carpenter.
",2,== Early life ==
"== Musical career ==
",3,== Musical career ==
"In 1952, Rivera joined the U.S. Army but was quickly discharged, because he did not speak English. When he returned to Puerto Rico, he went to work as a lead singer with Orquesta Panamericana, thanks to the recommendation of his friend Cortijo. With Orquesta Panamericana, Rivera recorded and scored his first hits with the songs ""El charlatán"", ""Ya yo sé"", ""La vieja en camisa"" and ""La sazón de Abuela"". However, an incident between Rivera and another band member, over a girl, led to his departure from the popular band. In 1954, he joined Cortijo's Combo and recorded the following songs, which soon became hits in the American Latin community:""El Bombón de Elena""
",4,== Musical career ==
"""El Negro Bembón""
",5,== Musical career ==
"""Juan José""
",6,== Musical career ==
"""Besitos de Coco""
",7,== Musical career ==
"""Palo Que Tú Me Das""
",8,== Musical career ==
"""Quítate de la Vía Perico""
",9,== Musical career ==
"""Oriza""
",10,== Musical career ==
"""El Chivo de la Campana""
",11,== Musical career ==
"""Maquinolandera""
",12,== Musical career ==
"""El Yayo""
",13,== Musical career ==
"""María Teresa""
",14,== Musical career ==
"""Yo Soy del Campo""
",15,== Musical career ==
"== El Sonero Mayor ==
",16,== El Sonero Mayor ==
"Cortijo's Combo continued to gain fame and so did Rivera's reputation as a lead singer. Rivera was named sonero mayor by Cuban producer Ángel Maceda, owner of club Bronx Casino in New York; this is based in an interview done with Ismael.
",17,== El Sonero Mayor ==
