paragraph,paragraphIndex,section
"Kevin Jones is an American jazz percussionist and band leader. Jones's music is influenced by that of Cuba and Congo.
",0,N/A
"== Career ==
",1,== Career ==
"Jones grew up in Englewood, New Jersey. He is the brother of the musician Patrick Stanfield Jones. As a teenager he studied under percussionists Babatunde Lea, Marvin ""Bugalu"" Smith, Congolese drummers Titos Sompa and Coster Massamba, Charli Persip and Max Roach. Jones began playing percussion professionally at the age of 13 with a group called Spoonbread, who were signed to All Platinum Records of Englewood, NJ. In 1978, aged 18, he played in a sextet led by Charles McPherson on the album Free Bop! He studied music at the University of Massachusetts and Jazzmobile simultaneously until 1979, when his Professor, saxophonist Archie Shepp, took him on tour to Europe, where he recorded his second album. Just months later he was hired by The Isley Brothers and toured and later recorded a host of records with them.
",2,== Career ==
"Jones has performed with, among others, Whitney Houston, The Isley Brothers, Jermaine Jackson, Archie Shepp, Winard Harper, Ray Copeland, Talib Kibwe, Babatunde Lea, James Weidman, Clifford Adams, and Malaki Ma Congo Drum and Dance Ensemble.
",3,== Career ==
"=== Tenth World ===
",4,== Career == | === Tenth World ===
"Jones and the pianist Kelvin Sholar formed the band Tenth World in 1999. The band members included Jamieo Brown (drums, percussion), Brian Horton (saxophone and flute), George Makinto (flute, percussion, African percussion), Kevin Louis (trumpet), and Luisito Quintero (timbales, percussion, drums).
",5,== Career == | === Tenth World ===
"Bill Milkowski writing in JazzTimes described Jones's first album as leader, Tenth World, produced by Babatunde Lea, as combining ""the spirit of Africa with modern jazz on his impressive debut."" Milkowski wrote of the group's second album, Live!, ""Percussionist Bujo Kevin Jones underscores this vibrant sextet with an authentic Afro-Cuban pulse"".
",6,== Career == | === Tenth World ===
"=== Who's That Lady? ===
",7,== Career == | === Who's That Lady? ===
"In 2014, Jones released the album Who's That Lady? through Motéma Music. The band included singers Derrick Dupree and Christelle Durandy, pianist Zen Zadravec, drummer Jerard Snell, guitarist Michael ""Moon"" Reuben and Bassist Charles Brown.
",8,== Career == | === Who's That Lady? ===
"In a generally positive review, ""j.poet"" wrote in Drum! Magazine that ""Jones has a lifetime of performing a wide range of styles with some of the top names in the field, and brings all those elements together on Who's That Lady"".
",9,== Career == | === Who's That Lady? ===
"== Discography ==
",10,== Discography ==
"=== As support musician ===
",11,== Discography == | === As support musician ===
"Free Bop! - Charles McPherson (Xanadu Records, 1978)
",12,== Discography == | === As support musician ===
"Attica Blues Big Band Live at Palais De Glace - Archie Shepp (Blue Marge Records)
",13,== Discography == | === As support musician ===
"Grand Slam - The Isley Brothers (T-Neck Records/CBS, 1980)
",14,== Discography == | === As support musician ===
"The Isley Brothers Live - The Isley Brothers (T-Neck Records/CBS, 1980)
",15,== Discography == | === As support musician ===
"The Beat Of Love - Randy VanWarmer - (1982)
",16,== Discography == | === As support musician ===
"Inside You - The Isley Brothers (T-Neck Records/CBS, 1981)
",17,== Discography == | === As support musician ===
"The Real Deal - The Isley Brothers (T-Neck Records/CBS, 1982)
",18,== Discography == | === As support musician ===
"Between the Sheets - The Isley Brothers (T-Neck/CBS, 1983)
",19,== Discography == | === As support musician ===
"Broadway's Closer to Sunset Blvd - Isley, Jasper, Isley (T-Neck/CBS, 1984)
",20,== Discography == | === As support musician ===
"Caravan of Love - Isley, Jasper, Isley (T-Neck/CBS, 1985)
",21,== Discography == | === As support musician ===
"Different Drummer - Isley, Jasper, Isley (T-Neck/CBS, 1987)
",22,== Discography == | === As support musician ===
"Soul-Jazz Collaboration - Chuck McPherson (Independent, 1998)
",23,== Discography == | === As support musician ===
"Listening Room - Clifford Adams (2000)
",24,== Discography == | === As support musician ===
"Spiritually Speaking Blaze (featuring Kevin Hedge/Josh Milan) (2002)
",25,== Discography == | === As support musician ===
"Soul Pools - Babatunde Lea (Motema Music 2003)
",26,== Discography == | === As support musician ===
"Rhythm Master - Vincent Ector (Blues Leaf, 2003)
",27,== Discography == | === As support musician ===
"Time For The Soul - Winard Harper Sextet (Savant Records, 2003)
",28,== Discography == | === As support musician ===
"Keepers Of The Flame - Charles Earland Tribute Band (Highnote, 2003)
",29,== Discography == | === As support musician ===
"Hip Cake Walk - Papa John DeFrancesco (Highnote, 2003)
",30,== Discography == | === As support musician ===
