paragraph,paragraphIndex,section
"Yves Marie Baudrier (11 February 1906 –  9 November 1988) was a French composer. Along with André Jolivet, Olivier Messiaen and Jean-Yves Daniel-Lesur, he was a founder of the La jeune France group of composers.
",0,N/A
"He also competed in the mixed 6 metres at the 1936 Summer Olympics and in the music competition at the 1948 Summer Olympics.
",1,N/A
"== Selected filmography ==
",2,== Selected filmography ==
"Dilemma of Two Angels (1948)
",3,== Selected filmography ==
"The Man Who Returns from Afar (1950)
",4,== Selected filmography ==
"The Glass Castle (1950)
",5,== Selected filmography ==
"The Night Is My Kingdom (1951)
",6,== Selected filmography ==
"The Seven Deadly Sins (1952)
",7,== Selected filmography ==
"== References ==
",8,== References ==
"== Bibliography ==
",9,== Bibliography ==
"Peter Bondanella: The Films of Roberto Rossellini (Cambridge: Cambridge University Press, 1993).
",10,== Bibliography ==
"== External links ==
",11,== External links ==
Yves Baudrier at IMDb,12,== External links ==
