paragraph,paragraphIndex,section
"Haruka Fukuhara (福原 遥, Fukuhara Haruka, born August 28, 1998) is a Japanese actress, singer and model from Saitama Prefecture. From 2009 to 2012, she starred in Cooking Idol! I! My! Main as Main Hiiragi, portraying the character in both animated and live-action segments. Following the series' end, she has starred in multiple television and film projects including Good Morning Call, Futari Monologue, Koe Girl!, Coffee & Vanilla, Hitsuji to Ōkami no Koi to Satsu-jin, and Laid-Back Camp. In animation, Fukuhara has provided the voice to Cure Custard in Kirakira PreCure a la Mode.
",0,N/A
"Aside from releasing songs for Cooking Idol! I! My! Main early in her career, in 2019, Fukuhara released her solo debut single, ""Mikanseina Hikari-tachi.""
",1,N/A
"== Career ==
",2,== Career ==
"Haruka Fukuhara started working as a child actress from the first grade of elementary school.
",3,== Career ==
"Since 2009, she plays and voices the leading role of Main Hiiragi in Cookin' Idol I! My! Mine!, a part anime, part live action show on NHK. In 2012, she won a grand prix in the 20th audition for the teen fashion magazine Pichi Lemon, in which 9,000 people took part. Since then, she has worked as a model for the magazine. On February 13, 2013, she released her fifth single, titled ""Nameko no Uta"" (なめこのうた, ""Nameko Song""). The music video for the title track had been already watched 6.8 million times on YouTube by February 7. The music video is animated. The song by Fukuhara had been already released on a Various Artists' compilation titled Nameko no CD in July 2012; the song had been also chosen as an ending theme for the musical show Music-ruTV (musicるTV) on TV Asahi.
",4,== Career ==
"== Filmography ==
",5,== Filmography ==
"=== Live-action work ===
",6,== Filmography == | === Live-action work ===
"==== Films ====
",7,== Filmography == | ==== Films ====
"==== Television ====
",8,== Filmography == | ==== Television ====
"=== Voice-acting work ===
",9,== Filmography == | === Voice-acting work ===
"==== Films ====
",10,== Filmography == | ==== Films ====
"==== Television ====
",11,== Filmography == | ==== Television ====
"== Discography ==
",12,== Discography ==
"=== Singles ===
",13,== Discography == | === Singles ===
"=== Soundtrack appearances ===
",14,== Discography == | === Soundtrack appearances ===
"==== Albums ====
",15,== Discography == | ==== Albums ====
"==== Singles ====
",16,== Discography == | ==== Singles ====
"==== Other songs ====
",17,== Discography == | ==== Other songs ====
"== References ==
",18,== References ==
"== External links ==
",19,== External links ==
"Official website at Ken On (in Japanese)
",20,== External links ==
Haruka Fukuhara at IMDb,21,== External links ==
