paragraph,paragraphIndex,section
"Michèle Bokanowski (born 9 August 1943) is a French composer. She was born in Cannes, and was educated in traditional music. She continued her studies in composition in Paris with Michel Puig and in electronic music in 1970 at the Service de la recherche de l’ORTF (ORTF) directed by Pierre Schaeffer. She also studied computer music at the Faculté de Vincennes and electronic music with Eliane Radigue. After completing her studies, Bokanowski worked as a composer. She married Patrick Bokanowski and often collaborates with him for film, Catheringe Dasté for theater works, and choreographers Hideyuki Yano, Marceline Lartigue and Bernardo Montet for dance.
",0,N/A
"== Works ==
",1,== Works ==
"Bokanowski composes for concert performance, film, television, theatre  and dance. Selected works include:
",2,== Works ==
"Korè for one pianist
",3,== Works ==
"Trois chambres d’inquiétude
",4,== Works ==
"Tabou
",5,== Works ==
"Chant d’ombre
",6,== Works ==
"CirqueShe has composed soundtracks for films including:
",7,== Works ==
"2008 Battements solaires (short)
",8,== Works ==
"2002 Le canard à l'orange (short)
",9,== Works ==
"1998 Flammes (short)
",10,== Works ==
"1998 Fugue (short)
",11,== Works ==
"1994 Au bord du lac (short)
",12,== Works ==
"1992 The Beach (short)
",13,== Works ==
"1984 La part du hasard
",14,== Works ==
"1982 The Angel
",15,== Works ==
"1974 Déjeuner du matin (short)
",16,== Works ==
"1972 The Woman Who Powders Herself (short)Her work has been recorded and released on CD, including:
",17,== Works ==
"L'Ange (CD, Album) trAce, 2003
",18,== Works ==
"L'Étoile Absinthe / Chant D'Ombre (CD, Ltd) Optical Sound, 2010
",19,== Works ==
"Tabou (CD, Mini) Metamkine, 1992
",20,== Works ==
"Trois Chambres D'Inquiétude (CD, Ltd, EP), Elevator Bath, 2000
",21,== Works ==
"L'Étoile Absinthe (CD, Mini) Metamkine, 2002
",22,== Works ==
"Cirque (CD) Empreintes DIGITALes, 1995
",23,== Works ==
"Pour Un Pianiste (CD) trAce, 2005
",24,== Works ==
"Michèle Bokanowski (CD) trAce, 2009
",25,== Works ==
"== References ==
",26,== References ==
"== External links ==
",27,== External links ==
Interview with Michèle Bokanowski,28,== External links ==
