paragraph,paragraphIndex,section
"Jon Sholle (March 13, 1948 – May 17, 2018) was an American guitarist, multi-instrumentalist, and musician who played bluegrass, rock, country, roots music, and folk music.
",0,N/A
"== As musician ==
",1,== As musician ==
"Sholle was born in 1948 in New York City. While he started playing professionally as early as high school, over his 40+ year career, Sholle worked with such musicians as Vassar Clements, David Grisman, Peter Rowan, Tony Rice, Larry Campbell, Keith Carradine, Allen Ginsberg, Bela Fleck, and Bette Midler. In 1969, Sholle played a number of string instruments for beat poet Allen Ginsberg's 1970 LP Songs of Innocence and Experience, a musical adaptation of William Blake's poetry collection of the same name. From 1984 to 1986 he was a member of the David Grisman Quintet and was featured on their album Acousticity, which made No. 6 on Billboard's Jazz chart. Sholle also released two solo albums with Rounder Records, Catfish for Supper and Out of the Frying Pan. He was featured on Andy Statman's 2011 release on the Shefa label, ""Old Brooklyn"", playing Guitar (Acoustic), Guitar (Electric), Guitar (Steel), and Lap Steel Guitar.
",2,== As musician ==
"== As producer ==
",3,== As producer ==
"Working with film director Ethan Wiley, Sholle produced Wiley's instrumental CD ""Take a Stand"" and composed and performed two instrumental songs for the soundtrack to the 2001 horror movie Jason X and Don Knowlton's 2000 short ""Bad Assassin"". He also contributed music to the ""Elf-Man"" soundtrack, also directed by Wiley.  He compiled and wrote the liner notes for the 1996 Rounder Records compilation Rounder Bluegrass Guitar, as well as self-producing the two albums he released through Rounder.
",4,== As producer ==
"== On stage and film ==
",5,== On stage and film ==
"Sholle appeared in the 1979 film The Rose as a member of Midler's band, as well appearing on-screen and playing on the soundtrack for the Peter Bogdanovitch-directed Audrey Hepburn movie They All Laughed, and playing dobro on the soundtrack for Disney's The Rookie, starring Dennis Quaid. He has also appeared in several Broadway shows, including The Best Little Whorehouse in Texas and Big River.
",6,== On stage and film ==
"== Awards and honors ==
",7,== Awards and honors ==
"Sholle won both the 1967 and 1968 ""World Champion Guitar"" at the Union Grove Fiddler's convention in North Carolina.
",8,== Awards and honors ==
"== References ==
",9,== References ==
"== External links ==
",10,== External links ==
Jonsholle.com,11,== External links ==
