time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
14 April 1787 – 26 May 1870,CD NNP CD NNP CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME MODIFIER NUMERAL TIME TIME,time_range,0,0
1764–1839,CD,YEAR_REGEX_1,TIME,time_reference,0,2
1828,CD,YEAR_REGEX_1,TIME,time_reference,0,2
1858,CD,YEAR_REGEX_1,TIME,time_reference,0,2
2003,CD,YEAR_REGEX_1,TIME,time_reference,0,4
