time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
15 June 1843 – 4 September 1907,CD NNP CD VBD CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME MODIFIER NUMERAL TIME TIME,time_range,"Edvard Hagerup Grieg ( GREEG, Norwegian: [ˈɛ̀dvɑʈ ˈhɑ̀ːɡərʉp ˈɡrɪɡː]; 15 June 1843 – 4 September 1907) was a Norwegian composer and pianist.",0,0,,9514
1806–1875,CD,YEAR_REGEX_1,TIME,time_reference,"His parents were Alexander Grieg (1806–1875), a merchant and the British Vice-Consul in Bergen; and Gesine Judithe Hagerup (1814–1875), a music teacher and daughter of solicitor and politician Edvard Hagerup.",1,2,== Background ==,9514
1814–1875,CD,YEAR_REGEX_1,TIME,time_reference,"His parents were Alexander Grieg (1806–1875), a merchant and the British Vice-Consul in Bergen; and Gesine Judithe Hagerup (1814–1875), a music teacher and daughter of solicitor and politician Edvard Hagerup.",1,2,== Background ==,9514
1746,CD,YEAR_REGEX_1,TIME,time_reference,"After the Battle of Culloden in Scotland in 1746, Grieg's great-grandfather, Alexander Greig (1739-1803), originally of Aberdeenshire, travelled widely before settling in Norway about 1770 and establishing business interests in Bergen.",3,2,== Background ==,9514
1739-1803,JJ,YEAR_REGEX_1,TIME,time_reference,"After the Battle of Culloden in Scotland in 1746, Grieg's great-grandfather, Alexander Greig (1739-1803), originally of Aberdeenshire, travelled widely before settling in Norway about 1770 and establishing business interests in Bergen.",3,2,== Background ==,9514
about 1770,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"After the Battle of Culloden in Scotland in 1746, Grieg's great-grandfather, Alexander Greig (1739-1803), originally of Aberdeenshire, travelled widely before settling in Norway about 1770 and establishing business interests in Bergen.",3,2,== Background ==,9514
1702-1774,JJ,YEAR_REGEX_1,TIME,time_reference,"Grieg's paternal great-great-grandparents, John (1702-1774) and Anne (1704-1784), are buried in the churchyard of the abandoned Church of St Ethernan in Rathen, Aberdeenshire, Scotland.",4,2,== Background ==,9514
1704-1784,JJ,YEAR_REGEX_1,TIME,time_reference,"Grieg's paternal great-great-grandparents, John (1702-1774) and Anne (1704-1784), are buried in the churchyard of the abandoned Church of St Ethernan in Rathen, Aberdeenshire, Scotland.",4,2,== Background ==,9514
the summer,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"During the summer of 1858, Grieg met the eminent Norwegian violinist Ole Bull, who was a family friend; Bull's brother was married to Grieg's aunt.",9,2,== Background ==,9514
of 1858,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"During the summer of 1858, Grieg met the eminent Norwegian violinist Ole Bull, who was a family friend; Bull's brother was married to Grieg's aunt.",9,2,== Background ==,9514
