time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
9 May 1940,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,0
1960 to 1962,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,2,0
1962 to 1968,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,3,0
1969,CD,YEAR_REGEX_1,TIME,time_reference,4,0
2005,CD,YEAR_REGEX_1,TIME,time_reference,1,3
1960,CD,YEAR_REGEX_1,TIME,time_reference,1,3
1963,CD,YEAR_REGEX_1,TIME,time_reference,3,5
1964,CD,YEAR_REGEX_1,TIME,time_reference,0,7
now,RB,TIMELINE_REGEX,TIME,time_reference,0,7
late 1964,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,3,7
Christmas,NNP,HOLIDAY_REGEX,TIME,time_reference,3,7
1966,CD,YEAR_REGEX_1,TIME,time_reference,0,8
1968,CD,YEAR_REGEX_1,TIME,time_reference,0,9
late 1968,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,11
early 1969,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,2,11
the 1970s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,4,11
the summer,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,4,12
of 1970,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,4,12
October 1970,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,13
Am,VBP,HALFDAY_REGEX_1,TIME,,0,13
1971,CD,YEAR_REGEX_1,TIME,time_reference,0,15
recently,RB,TIMELINE_REGEX,TIME,time_reference,4,15
September 1972,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,5,15
1973,CD,YEAR_REGEX_1,TIME,time_reference,5,15
1973–1975,CD,YEAR_REGEX_1,TIME,time_reference,3,17
1977,CD,YEAR_REGEX_1,TIME,time_reference,0,19
1979,CD,YEAR_REGEX_1,TIME,time_reference,2,20
many years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,3,20
29 October 1979,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,22
2001,CD,YEAR_REGEX_1,TIME,time_reference,0,23
2004,CD,YEAR_REGEX_1,TIME,time_reference,0,24
26 June 2008,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,26
October 2011,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,27
The Day,DT NNP,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,29
1973,CD,YEAR_REGEX_1,TIME,time_reference,0,29
1964,CD,YEAR_REGEX_1,TIME,time_reference,0,32
1964,CD,YEAR_REGEX_1,TIME,time_reference,0,33
1969,CD,YEAR_REGEX_1,TIME,time_reference,0,35
1971,CD,YEAR_REGEX_1,TIME,time_reference,0,36
1992,CD,YEAR_REGEX_1,TIME,time_reference,0,37
2002,CD,YEAR_REGEX_1,TIME,time_reference,0,38
2008,CD,YEAR_REGEX_1,TIME,time_reference,0,39
1969–1995 - 2,CD : CD,YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1,TIME MODIFIER NUMERAL,,1,39
2010,CD,YEAR_REGEX_1,TIME,time_reference,0,40
2012,CD,YEAR_REGEX_1,TIME,time_reference,0,41
1973,CD,YEAR_REGEX_1,TIME,time_reference,0,43
2005,CD,YEAR_REGEX_1,TIME,time_reference,0,44
1974,CD,YEAR_REGEX_1,TIME,time_reference,0,47
