time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"November 13 , 1915 – January 15 , 1948","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0
1945,CD,YEAR_REGEX_1,TIME,time_reference,0,0
1937,CD,YEAR_REGEX_1,TIME,time_reference,2,2
1945,CD,YEAR_REGEX_1,TIME,time_reference,0,4
19 weeks,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,0,4
5 later that year,CD RB IN NN,DIGIT_REGEX_1 PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,NUMERAL MODIFIER MODIFIER TIME,time_range,1,4
July 1947,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,4,4
1948,CD,YEAR_REGEX_1,TIME,time_reference,5,4
1991,CD,YEAR_REGEX_1,TIME,time_reference,0,9
