time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"February 27 , 1923 – April 25 , 1990","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0
40 years,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,3,0
the 1960s,DT NNS,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,5,1
1948,CD,YEAR_REGEX_1,TIME,time_reference,0,3
Midnight,NNP,DAY_TIME_REGEX,TIME,time_reference,0,4
1986,CD,YEAR_REGEX_1,TIME,time_reference,0,4
Midnight,NNP,DAY_TIME_REGEX,TIME,time_reference,0,4
1986,CD,YEAR_REGEX_1,TIME,time_reference,0,4
the 1990,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,4
2018,CD,YEAR_REGEX_1,TIME,time_reference,2,4
1962,CD,YEAR_REGEX_1,TIME,time_reference,2,4
"February 27 , 1923","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,7
1918,CD,YEAR_REGEX_1,TIME,time_reference,1,7
December 1940 and 1943,NNP CD CC CD,MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME TIME MODIFIER TIME,time_reference,6,7
1944,CD,YEAR_REGEX_1,TIME,time_reference,7,7
The 1942–44,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,8,7
1943,CD,YEAR_REGEX_1,TIME,time_reference,9,7
late 1944,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,9
early 1945,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,9
20th Century,JJ NNP,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,1,9
late 1945,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,2,9
1945-46,JJ,YEAR_REGEX_1,TIME,time_reference,3,9
late 1946,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,4,9
1947,CD,YEAR_REGEX_1,TIME,time_reference,4,9
1947 and 1952,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,5,9
1977,CD,YEAR_REGEX_1,TIME,time_reference,7,9
December 1947,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,8,9
1940s,NNS,YEAR_REGEX_1,TIME,time_reference,9,9
The 1950s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,10
the 1950s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,11
February 1952,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,1,11
June 1952,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,1,11
1953 to 1955,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,2,11
1955,CD,YEAR_REGEX_1,TIME,time_reference,2,11
of the decade,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,3,11
1959,CD,YEAR_REGEX_1,TIME,time_reference,3,11
1959,CD,YEAR_REGEX_1,TIME,time_reference,4,11
1960,CD,YEAR_REGEX_1,TIME,time_reference,6,11
The decade,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,12
1950,CD,YEAR_REGEX_1,TIME,time_reference,1,12
1960,CD,YEAR_REGEX_1,TIME,time_reference,3,12
1961,CD,YEAR_REGEX_1,TIME,time_reference,0,14
twelve years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,2,14
several years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,3,14
three days,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,5,14
May 1961,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,5,14
August 1962,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,6,14
years,NNS,TIME_UNIT_REGEX,TIME,time_reference,9,14
Years,NNS,TIME_UNIT_REGEX,TIME,time_reference,1,15
the next 14 years,DT JJ CD NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 DIGIT_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,0,16
1963,CD,YEAR_REGEX_1,TIME,time_reference,1,17
1964,CD,YEAR_REGEX_1,TIME,time_reference,2,17
May 1965,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,1,18
1979,CD,YEAR_REGEX_1,TIME,time_reference,1,18
the 1960s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,19
the late 1960s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,1,19
early 1970s,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,19
1971,CD,YEAR_REGEX_1,TIME,time_reference,2,19
1965–73,CD,YEAR_REGEX_1,TIME,time_reference,3,19
1969,CD,YEAR_REGEX_1,TIME,time_reference,5,19
1970,CD,YEAR_REGEX_1,TIME,time_reference,5,19
1970,CD,YEAR_REGEX_1,TIME,time_reference,5,19
1970,CD,YEAR_REGEX_1,TIME,time_reference,5,19
1972,CD,YEAR_REGEX_1,TIME,time_reference,5,19
the 1970s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,3,20
1976,CD,YEAR_REGEX_1,TIME,time_reference,0,22
1978 and 1979,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,5,22
1977,CD,YEAR_REGEX_1,TIME,time_reference,7,22
1978,CD,YEAR_REGEX_1,TIME,time_reference,7,22
1970s,CD,YEAR_REGEX_1,TIME,time_reference,8,22
early 1980s,RB CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,8,22
1978 and 1980,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,0,24
of the Year,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,0,24
1980,CD,YEAR_REGEX_1,TIME,time_reference,0,24
Day,NNP,TIME_UNIT_REGEX,TIME,time_reference,1,24
1986,CD,YEAR_REGEX_1,TIME,time_reference,2,24
the 1980s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,25
the decade,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,26
