time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
2 February 1944 – 11 March 1998,CD NNP CD NNP CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME MODIFIER NUMERAL TIME TIME,time_range,0,0
previously,RB,TIMELINE_REGEX,TIME,time_reference,0,3
later years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,4
now,RB,TIMELINE_REGEX,TIME,time_reference,1,4
today,NN,TIMELINE_REGEX,TIME,time_reference,0,5
1988,CD,YEAR_REGEX_1,TIME,time_reference,0,7
one week,CD NN,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,,1,7
March 1998,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,9
many years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,1,9
the night,DT NN,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,0,10
of 11 March 1998,IN CD NNP CD,PREFIX_REGEX_1 DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,MODIFIER NUMERAL TIME TIME,time_reference,0,10
Saturday 14 March 1998,NNP CD NNP CD,WEEK_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,TIME NUMERAL TIME TIME,time_reference,1,10
years,NNS,TIME_UNIT_REGEX,TIME,time_reference,0,12
1962–97,CD,YEAR_REGEX_1,TIME,time_reference,0,12
1988,CD,YEAR_REGEX_1,TIME,time_reference,0,13
1993,CD,YEAR_REGEX_1,TIME,time_reference,0,14
1998,CD,YEAR_REGEX_1,TIME,time_reference,0,15
2014,CD,YEAR_REGEX_1,TIME,time_reference,0,16
