time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"August 3 , 1946","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"John York Foley (born August 3, 1946) is an American bassist and guitarist.",0,0,,28110034
September 1968,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"York joined The Byrds in September 1968, as a replacement for the band's original bass player Chris Hillman.",2,2,== History ==,28110034
September 1969,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"He remained with the group until September 1969, when he was replaced by Skip Battin.",3,2,== History ==,28110034
a year,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Despite only being with the Byrds for a year, his bass playing and singing appear on two of the group's studio albums, Dr. Byrds & Mr. Hyde and Ballad of Easy Rider, as well as on the non-album single ""Lay Lady Lay"".",4,2,== History ==,28110034
February 1969,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,He also appears on the Columbia/Legacy Byrds' live album Live at the Fillmore - February 1969.,6,2,== History ==,28110034
late 1980s,VB CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,,in the mid to late 1980s.,0,3,== History ==,28110034
the 1980s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"York has maintained a lengthy career as a guitarist and bass player, and since the 1980s has worked with artists including Chris Darrow, Katie Trickett, Steven T., Nick Binkley, and Carla Olson, among others.",1,3,== History ==,28110034
1988,CD,YEAR_REGEX_1,TIME,time_reference,"In 1988, he recorded a number of songs with fellow ex-Byrds bass player Skip Battin, and these recordings were issued as the Family Tree album in 2001.",2,3,== History ==,28110034
2001,CD,YEAR_REGEX_1,TIME,time_reference,"In 1988, he recorded a number of songs with fellow ex-Byrds bass player Skip Battin, and these recordings were issued as the Family Tree album in 2001.",2,3,== History ==,28110034
1991,CD,YEAR_REGEX_1,TIME,time_reference,"He released three solo albums, Sacred Path Songs (1991), Claremont Dragon (1998), and Arigatou Baby (2006), and recorded the albums Clan Mother Songs with Jamie Sams, and Koto with Yukiko Matsuyama.",3,3,== History ==,28110034
1998,CD,YEAR_REGEX_1,TIME,time_reference,"He released three solo albums, Sacred Path Songs (1991), Claremont Dragon (1998), and Arigatou Baby (2006), and recorded the albums Clan Mother Songs with Jamie Sams, and Koto with Yukiko Matsuyama.",3,3,== History ==,28110034
2006,CD,YEAR_REGEX_1,TIME,time_reference,"He released three solo albums, Sacred Path Songs (1991), Claremont Dragon (1998), and Arigatou Baby (2006), and recorded the albums Clan Mother Songs with Jamie Sams, and Koto with Yukiko Matsuyama.",3,3,== History ==,28110034
2008,CD,YEAR_REGEX_1,TIME,time_reference,"In 2008, York teamed-up with singer-songwriter Barry McGuire for a live tour entitled Trippin' the 60's.",4,3,== History ==,28110034
1965,CD,YEAR_REGEX_1,TIME,time_reference,"""Leave Me Be""/""She's an Artist"" (7"" single – 1965)",0,6,== Selected discography == | === The Bees ===,28110034
