time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
3 August 1972,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Patrik Christian Isaksson (born 3 August 1972) is a Swedish singer and songwriter.,0,0,,5437059
2006,CD,YEAR_REGEX_1,TIME,time_reference,"He competed in Swedish Melodifestivalen 2006 with the song ""Faller du så faller jag"" and again in 2008, with the song ""Under mitt tunna skinn"".",1,0,,5437059
Faller,NNP,SEASON_REGEX,TIME,time_reference,"He competed in Swedish Melodifestivalen 2006 with the song ""Faller du så faller jag"" and again in 2008, with the song ""Under mitt tunna skinn"".",1,0,,5437059
faller,NN,SEASON_REGEX,TIME,time_reference,"He competed in Swedish Melodifestivalen 2006 with the song ""Faller du så faller jag"" and again in 2008, with the song ""Under mitt tunna skinn"".",1,0,,5437059
2008,CD,YEAR_REGEX_1,TIME,time_reference,"He competed in Swedish Melodifestivalen 2006 with the song ""Faller du så faller jag"" and again in 2008, with the song ""Under mitt tunna skinn"".",1,0,,5437059
2012,CD,YEAR_REGEX_1,TIME,time_reference,"In 2012, he competed in the Danish Dansk Melodi Grand Prix 2012 with the song ""Venter"", a duet with Christian Brøns.",2,0,,5437059
2012,CD,YEAR_REGEX_1,TIME,time_reference,"In 2012, he competed in the Danish Dansk Melodi Grand Prix 2012 with the song ""Venter"", a duet with Christian Brøns.",2,0,,5437059
of July 2020,IN NNP CD,PREFIX_REGEX_1 MONTH_REGEX YEAR_REGEX_1,MODIFIER TIME TIME,time_reference,"As of July 2020, Isaksson has released six studio albums.",3,0,,5437059
