time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"June 24 , 1960","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,0
Summer,NNP,SEASON_REGEX,TIME,time_reference,0,0
the 2006,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,0
"June 24 , 1960","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,2
1977,CD,YEAR_REGEX_1,TIME,time_reference,8,2
1980s,CD,YEAR_REGEX_1,TIME,time_reference,0,4
1980,CD,YEAR_REGEX_1,TIME,time_reference,0,5
1982,CD,YEAR_REGEX_1,TIME,time_reference,1,5
1984,CD,YEAR_REGEX_1,TIME,time_reference,3,5
Right Now,RB RB,PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER TIME,time_reference,4,5
1985,CD,YEAR_REGEX_1,TIME,time_reference,5,5
Dayne,NNP,TIME_UNIT_REGEX,TIME,time_reference,5,5
1988,CD,YEAR_REGEX_1,TIME,time_reference,5,5
2007,CD,YEAR_REGEX_1,TIME,time_reference,5,5
1987,CD,YEAR_REGEX_1,TIME,time_reference,5,5
1988,CD,YEAR_REGEX_1,TIME,time_reference,5,5
1987,CD,YEAR_REGEX_1,TIME,time_reference,0,6
a 2013,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,2,6
now,RB,TIMELINE_REGEX,TIME,time_reference,10,6
of the 1980s and 1990s,IN DT CD CC CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,MODIFIER MODIFIER TIME MODIFIER TIME,time_reference,0,7
Tomorrow,NNP,TIMELINE_REGEX,TIME,time_reference,1,7
1989,CD,YEAR_REGEX_1,TIME,time_reference,2,7
1988,CD,YEAR_REGEX_1,TIME,time_reference,0,8
1989,CD,YEAR_REGEX_1,TIME,time_reference,0,9
1990s,CD,YEAR_REGEX_1,TIME,time_reference,0,10
1990,CD,YEAR_REGEX_1,TIME,time_reference,0,11
1995,CD,YEAR_REGEX_1,TIME,time_reference,1,11
Maysa,NNP,MONTH_REGEX,TIME,time_reference,1,11
1992 to 1993,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,0,12
1996,CD,YEAR_REGEX_1,TIME,time_reference,0,13
1997,CD,YEAR_REGEX_1,TIME,time_reference,0,13
