time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
1990-1992,CD,YEAR_REGEX_1,TIME,time_reference,PC Quest (1990-1992),1,3,== Bands == | === PC Quest (1990-1992) ===,5996187
1995-1998,CD,YEAR_REGEX_1,TIME,time_reference,Paradigm (1995-1998),1,5,== Bands == | === Paradigm (1995-1998) ===,5996187
1995,CD,YEAR_REGEX_1,TIME,time_reference,"In 1995, they released Fish  and in 1996 they followed with singles and EP's of various version of Too Big for the Garage.",1,6,== Bands == | === Paradigm (1995-1998) ===,5996187
1996,CD,YEAR_REGEX_1,TIME,time_reference,"In 1995, they released Fish  and in 1996 they followed with singles and EP's of various version of Too Big for the Garage.",1,6,== Bands == | === Paradigm (1995-1998) ===,5996187
1998-2000,CD,YEAR_REGEX_1,TIME,time_reference,Cloud2Ground (1998-2000),1,7,== Bands == | === Cloud2Ground (1998-2000) ===,5996187
1996,CD,YEAR_REGEX_1,TIME,time_reference,"While Cloud2Ground was started by Jeremy Dawson in 1996, Chad got back together with Jeremy in 1998.",0,8,== Bands == | === Cloud2Ground (1998-2000) ===,5996187
1998,CD,YEAR_REGEX_1,TIME,time_reference,"While Cloud2Ground was started by Jeremy Dawson in 1996, Chad got back together with Jeremy in 1998.",0,8,== Bands == | === Cloud2Ground (1998-2000) ===,5996187
2000,CD,YEAR_REGEX_1,TIME,time_reference,"In 2000, they released a second album, The Gate (Beautiful).",1,8,== Bands == | === Cloud2Ground (1998-2000) ===,5996187
2001-2004,CD,YEAR_REGEX_1,TIME,time_reference,Dangerous Insects (2001-2004),1,9,== Bands == | === Dangerous Insects (2001-2004) ===,5996187
Monday,NNP,WEEK_REGEX,TIME,time_reference,"along with ""Rainy Monday""",0,11,== Bands == | === Dangerous Insects (2001-2004) ===,5996187
2002-present,JJ,YEAR_REGEX_1,TIME,time_reference,Shiny Toy Guns (2002-present),1,12,== Bands == | === Shiny Toy Guns (2002-present) ===,5996187
the 2005,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,Chad also co-wrote and co-produced six tracks on the 2005 album release The Other Side by recording artist LOU.,0,15,== Bands == | === Shiny Toy Guns (2002-present) ===,5996187
2009-present,JJ,YEAR_REGEX_1,TIME,time_reference,Hybridigital (2009-present),1,16,== Bands == | === Hybridigital (2009-present) ===,5996187
2010,CD,YEAR_REGEX_1,TIME,time_reference,Mirror Machines (2010),1,18,== Bands == | === Mirror Machines (2010) ===,5996187
