time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"September 22 , 1988","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Marcelito ""Lito"" Castro Pomoy (born September 22, 1988) is a Filipino singer, known for his ability to sing in both tenor and soprano.",0,0,,32818065
2019,CD,YEAR_REGEX_1,TIME,time_reference,"In 2019, he took part in America's Got Talent:",2,0,,32818065
25 years old,CD NNS JJ,DIGIT_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,NUMERAL TIME MODIFIER,,"He later joined the second season of Pilipinas Got Talent (PGT), when he was 25 years old and by this time, made the cut.",0,5,== Early life and career ==,32818065
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Pomoy makes regular appearances on ASAP, and his first studio album, entitled Duet Yourself, was released in 2011 under Star Records.",0,6,== Early life and career ==,32818065
September 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In September 2018, he appeared on the Metro Manila radio station Wish 107.5, call sign DWNU performing Celine Dion and Andrea Bocelli’s famous duet ""The Prayer"" as a bilingual song in English and Italian languages.",0,7,== Early life and career ==,32818065
August 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In August 2019, he appeared at ASOP (A Song Of Praise) Music Festival in its 7th edition singing Joel Jabelosa's ""Pagbabalik.""",0,9,== Early life and career ==,32818065
"January 13 , 2020","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"He auditioned with ""The Prayer"" in episode 2 that aired January 13, 2020.",0,12,== America's Got Talent: The Champions ==,32818065
"September 21 , 2014","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On September 21, 2014, Pomoy married Joan Paraiso of Calauag, Quezon, and they have one daughter, Marcella Janiah.",0,15,== Personal life ==,32818065
currently,RB,TIMELINE_REGEX,TIME,time_reference,Pomoy currently resides in his wife's hometown in Calauag together with his family.,1,15,== Personal life ==,32818065
