time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
15 August 1937,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,0
the 2000,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,2,0
the 1975,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,2
1984,CD,YEAR_REGEX_1,TIME,time_reference,0,3
1992,CD,YEAR_REGEX_1,TIME,time_reference,1,3
30 years,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,2,3
