time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"August 19 , 1906 – March 6 , 1987","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"Eddie Durham (August 19, 1906 – March 6, 1987) was an American jazz guitarist who was one of the pioneers  of the electric guitar in jazz.",0,0,,11914063
1938,CD,YEAR_REGEX_1,TIME,time_reference,"In 1938, Durham wrote ""I Don't Want to Set the World on Fire"" with Bennie Benjamin, Sol Marcus, and Eddie Seiler.",3,0,,11914063
the 1940s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"During the 1940s, Durham created Eddie Durham's All-Star Girl Orchestra, an African-American all female swing band that toured the United States and Canada.",4,0,,11914063
"August 19 , 1906","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Durham was born in San Marcos, Texas on August 19, 1906 to Joseph Durham, Sr., and Luella Rabb (nee Mohawk) Durham.",0,2,== Early life ==,11914063
1929,CD,YEAR_REGEX_1,TIME,time_reference,"From 1929, Durham started experimenting to enhance the sound of his guitar using resonators and megaphones.",0,4,== Pioneer on the electric guitar ==,11914063
1935,CD,YEAR_REGEX_1,TIME,time_reference,"In 1935, he was the first to record an electrically amplified guitar with Jimmie Lunceford in ""Hittin' the Bottle"" that was recorded in New York for Decca.",1,4,== Pioneer on the electric guitar ==,11914063
1938,CD,YEAR_REGEX_1,TIME,time_reference,"In 1938, Durham recorded single string electric guitar solos with the Kansas City Five (or Six), which were both smallish groups that included members of Count Basie's rhythm section alongside with the tenor saxophone playing of Lester Young.",2,4,== Pioneer on the electric guitar ==,11914063
1974,CD,YEAR_REGEX_1,TIME,time_reference,"Eddie Durham (RCA, 1974)",0,7,== Discography == | === As leader ===,11914063
1981,CD,YEAR_REGEX_1,TIME,time_reference,"Blue Bone (JSP, 1981)",0,8,== Discography == | === As leader ===,11914063
1974,CD,YEAR_REGEX_1,TIME,time_reference,"Eddie Barefield, Eddie Barefield (RCA, 1974)",0,10,== Discography == | === As sideman ===,11914063
1955,CD,YEAR_REGEX_1,TIME,time_reference,"Jimmie Lunceford, Jimmie Lunceford and His Orchestra (Decca, 1955)",0,11,== Discography == | === As sideman ===,11914063
1961,CD,YEAR_REGEX_1,TIME,time_reference,"Lester Young, Lester Young with the Kansas City Five (Commodore, 1961)",0,12,== Discography == | === As sideman ===,11914063
1932,CD,YEAR_REGEX_1,TIME,time_reference,"Bennie Moten: ""Moten Swing"" (Victor, 1932)",0,14,== Selected arrangements ==,11914063
1935,CD,YEAR_REGEX_1,TIME,time_reference,"Jimmie Lunceford: ""Avalon"" (Decca, 1935)",0,15,== Selected arrangements ==,11914063
1935,CD,YEAR_REGEX_1,TIME,time_reference,"""Hittin' the Bottle"" (Decca, 1935)",0,16,== Selected arrangements ==,11914063
1936,CD,YEAR_REGEX_1,TIME,time_reference,"""Harlem Shout"" (Decca, 1936)",0,17,== Selected arrangements ==,11914063
1935,CD,YEAR_REGEX_1,TIME,time_reference,"""Lunceford Special"" (Vocalion, 1935)",0,18,== Selected arrangements ==,11914063
1937,CD,YEAR_REGEX_1,TIME,time_reference,"Count Basie: ""Time Out"" (Decca, 1937)",0,19,== Selected arrangements ==,11914063
1937,CD,YEAR_REGEX_1,TIME,time_reference,"""Topsy"" (Decca, 1937)",0,20,== Selected arrangements ==,11914063
1938,CD,YEAR_REGEX_1,TIME,time_reference,"""Swinging the Blues"" (Decca, 1938)",0,21,== Selected arrangements ==,11914063
1938,CD,YEAR_REGEX_1,TIME,time_reference,"""Jumpin' at the Woodside"" (Decca, 1938)",0,22,== Selected arrangements ==,11914063
