time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
1990,CD,YEAR_REGEX_1,TIME,time_reference,Axel Algmark (born in 1990) is a Swedish pop singer.,0,0,,35200371
2012,CD,YEAR_REGEX_1,TIME,time_reference,"At 22, he took part in Melodifestivalen 2012 in a bid to represent Sweden in finals to be held in Baku, Azerbaijan.",1,1,,35200371
25 February 2012,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"He presented the song ""Kyss mig"" (meaning Kiss me) co-written by Mattias Frändå, Jonathan Magnussen and Algmark himself in the fourth semi-final held on 25 February 2012 in Malmö Arena, Malmö.",2,1,,35200371
