time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
9 October 1946,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,0
two days,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,0,1
around 1970,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,1
around June 1971,IN NNP CD,PREFIX_REGEX_1 MONTH_REGEX YEAR_REGEX_1,MODIFIER TIME TIME,time_reference,1,1
the first years,DT JJ NNS,PREFIX_REGEX_1 ORDINAL_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,2,1
1979,CD,YEAR_REGEX_1,TIME,time_reference,0,2
1971,CD,YEAR_REGEX_1,TIME,time_reference,0,41
spring,NN,SEASON_REGEX,TIME,time_reference,0,45
'81 and '86,CD CC CD,YEAR_REGEX_2 LINKAGE_REGEX YEAR_REGEX_2,TIME MODIFIER TIME,time_range,0,102
