time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"January 11 , 1926 – July 11 , 2008","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"Hayward ""Chuck"" Carbo (January 11, 1926 – July 11, 2008) was an American R&B singer, best known for his time as a vocalist in the New Orleans group The Spiders.",0,0,,18744071
the early 1930s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,"Chuck Carbo was born in Houma, Louisiana, then moved with his family to the Zion City neighborhood of New Orleans in the early 1930s.",0,1,,18744071
Sunday mornings,NNP NNS,WEEK_REGEX DAY_TIME_REGEX,TIME TIME,time_reference,"Taking the name the Delta Southernaires, the off-shoot group performed on Sunday mornings on WWEZ.",5,1,,18744071
1953,CD,YEAR_REGEX_1,TIME,time_reference,In 1953 they auditioned for Cosimo Matassa at J&M Studio with the songs John The Revelator and Bye and Bye.,6,1,,18744071
1994,CD,YEAR_REGEX_1,TIME,time_reference,"At the first recording session the group had misgivings, so also recorded two gospel songs which were unreleased until 1994.",17,1,,18744071
1955,CD,YEAR_REGEX_1,TIME,time_reference,The original Spiders reunited in 1955 to record Witchcraft which went to #7 on the R&B charts.,20,1,,18744071
1957,CD,YEAR_REGEX_1,TIME,time_reference,Chuck cut two singles under his own name for Imperial before being dropped by the label in 1957.,22,1,,18744071
the 1960s,DT NNS,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Chuck Carbo continued to record as a solo artist, cutting discs for Rex Records, and Ace in the 1960s.",23,1,,18744071
1970,CD,YEAR_REGEX_1,TIME,time_reference,"Perhaps his best known song as a solo artist was his 1970 single, ""Can I Be Your Squeeze"" on Eddie Bo's Fire Ball Records.",24,1,,18744071
the next several decades,DT JJ JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER MODIFIER TIME,time_reference,"Carbo continued to perform intermittently for the next several decades, though he took odd jobs (including as a truck driver) whenever he could not make a living performing.",25,1,,18744071
1988,CD,YEAR_REGEX_1,TIME,time_reference,"In 1988 Carbo recorded his first solo album Life's Ups and Downs on 504 Records, featuring guitarist Alvin Robinson, Dr. John, and Edward Frank.",26,1,,18744071
Monday,NNP,WEEK_REGEX,TIME,time_reference,Second Line On Monday was released as a single.,27,1,,18744071
1993,CD,YEAR_REGEX_1,TIME,time_reference,This led to a follow-up album Drawers Trouble on Rounder Records in 1993 featuring Dr. John and Edward Frank.,29,1,,18744071
1996,CD,YEAR_REGEX_1,TIME,time_reference,A second full-length The Barber's Blues followed in 1996.,30,1,,18744071
Daytime,NNP,TIME_UNIT_REGEX,TIME,time_reference,"His granddaughter, Rolexis Delaney Schinsing is an actress who has appeared on HBO show Treme, OWN's Queen Sugar, and Daytime Emmy nominated network BYUtv's show Relative Race.",32,1,,18744071
July 2008,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Carbo died in July 2008, at the age of 82.",33,1,,18744071
1993,CD,YEAR_REGEX_1,TIME,time_reference,"Drawers Trouble (Rounder, 1993)",0,3,== Discography ==,18744071
1996,CD,YEAR_REGEX_1,TIME,time_reference,"The Barber's Blues (Rounder, 1996)",0,4,== Discography ==,18744071
