time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
their 2004,PRP$ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,,"3 of a Kind were a UK garage act, best known for their 2004 number one hit single, ""Baby Cakes"".",0,0,,1116618
the day,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Devine MC) and Marc Portelli, who recorded ""Baby Cakes"" the day they met.",3,0,,1116618
2004,CD,YEAR_REGEX_1,TIME,time_reference,"2004: ""Baby Cakes""",1,2,"== Career == | === 2004: ""Baby Cakes"" ===",1116618
2014–present,CD,YEAR_REGEX_1,TIME,time_reference,2014–present ===,1,4,== Career == | === 2014–present ===,1116618
November 2014,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Nicholas Gallante appeared on Never Mind the Buzzcocks in November 2014, as part of the ""Identity Parade"" round and it was revealed he is now a party planner.",0,5,== Career == | === 2014–present ===,1116618
now,RB,TIMELINE_REGEX,TIME,time_reference,"Nicholas Gallante appeared on Never Mind the Buzzcocks in November 2014, as part of the ""Identity Parade"" round and it was revealed he is now a party planner.",0,5,== Career == | === 2014–present ===,1116618
