time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"May 27 , 1971 – April 25 , 2002","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"Lisa Nicole Lopes (May 27, 1971 – April 25, 2002), better known by her stage name Left Eye, was an American rapper and singer.",0,0,,50475
Tonight,NNP,DAY_TIME_REGEX,TIME,time_reference,"During her brief solo career, Lopes scored two US top 10 singles with ""Not Tonight"" and ""U Know What's Up"", as well as one UK number-one single with ""Never Be the Same Again"", the latter a collaboration with Melanie C of the British girl group Spice Girls.",5,0,,50475
"April 25 , 2002","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On April 25, 2002, Lopes was killed in a car crash while organizing charity work in Honduras.",0,1,,50475
The Last Days,DT JJ NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"She was working on a documentary at the time of her death, which was released as The Last Days of Left Eye and aired on VH1 in May 2007.",2,1,,50475
May 2007,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"She was working on a documentary at the time of her death, which was released as The Last Days of Left Eye and aired on VH1 in May 2007.",2,1,,50475
1971,CD,YEAR_REGEX_1,TIME,time_reference,"Lopes was born in 1971 in Philadelphia, Pennsylvania, the daughter of Wanda Denise (née Andino), a seamstress, and Ronald Lopes Sr., a US Army staff sergeant.",0,3,== Early life ==,50475
the later years,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"Lopes' parents separated when she was still in school, and her paternal grandmother raised her during the later years of her childhood.",4,3,== Early life ==,50475
5 years old,CD NNS JJ,DIGIT_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,NUMERAL TIME MODIFIER,,"She began playing with a toy keyboard at 5 years old, and later composed her own songs.",5,3,== Early life ==,50475
1990–1999,CD,YEAR_REGEX_1,TIME,time_reference,1990–1999:,1,5,== Career == | === 1990–1999: TLC ===,50475
late 1990,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In late 1990, having heard of an open casting call for a new girl group through her then-boyfriend, Lopes moved to Atlanta to audition.",0,6,== Career == | === 1990–1999: TLC ===,50475
1992,CD,YEAR_REGEX_1,TIME,time_reference,The group arrived on the music scene in 1992 with the album Ooooooohhh...,7,6,== Career == | === 1990–1999: TLC ===,50475
moments,NNS,TIMELINE_REGEX,TIME,time_reference,"Their relationship was allegedly filled with violent moments, and Lopes filed an assault charge against Rison on September 2, 1993.",11,6,== Career == | === 1990–1999: TLC ===,50475
"September 2 , 1993","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Their relationship was allegedly filled with violent moments, and Lopes filed an assault charge against Rison on September 2, 1993.",11,6,== Career == | === 1990–1999: TLC ===,50475
the early morning hours,DT JJ NN NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 DAY_TIME_REGEX TIME_UNIT_REGEX,MODIFIER MODIFIER TIME TIME,time_reference,"After another fight between the couple in the early morning hours of June 9, 1994, Lopes tossed numerous pairs of Rison's newly purchased shoes into a bathtub, doused them with lighter fluid, and lit them on fire.",14,6,== Career == | === 1990–1999: TLC ===,50475
"of June 9 , 1994","IN NNP CD , CD",PREFIX_REGEX_1 MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"After another fight between the couple in the early morning hours of June 9, 1994, Lopes tossed numerous pairs of Rison's newly purchased shoes into a bathtub, doused them with lighter fluid, and lit them on fire.",14,6,== Career == | === 1990–1999: TLC ===,50475
previously,RB,TIMELINE_REGEX,TIME,time_reference,Lopes and Rison had a fight previously because she caught Rison in bed with another woman.,16,6,== Career == | === 1990–1999: TLC ===,50475
five years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Lopes was arrested and indicted on charges of first-degree arson; she was sentenced to five years of probation and a $10,000 fine.",19,6,== Career == | === 1990–1999: TLC ===,50475
seven years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Rison eventually reconciled with Lopes, and they continued dating on and off for seven years.",20,6,== Career == | === 1990–1999: TLC ===,50475
1994,CD,YEAR_REGEX_1,TIME,time_reference,a song by Keith Sweat in 1994.,24,6,== Career == | === 1990–1999: TLC ===,50475
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Later in 1995, Lopes recorded a well-received verse to the rap version of ""Freedom"" of the soundtrack from the Black Panther-based docudrama Panther with fellow female hip hop artists such as Queen Latifah, MC Lyte, Patra, Yo-Yo, Salt 'n' Pepa and Meshell Ndegeocello.",25,6,== Career == | === 1990–1999: TLC ===,50475
1997,CD,YEAR_REGEX_1,TIME,time_reference,"In 1997, Lopes was featured on the remix to Lil’ Kim's ""Not Tonight"", alongside Missy Elliott, Angie Martinez and Da Brat.",26,6,== Career == | === 1990–1999: TLC ===,50475
Tonight,NNP,DAY_TIME_REGEX,TIME,time_reference,"In 1997, Lopes was featured on the remix to Lil’ Kim's ""Not Tonight"", alongside Missy Elliott, Angie Martinez and Da Brat.",26,6,== Career == | === 1990–1999: TLC ===,50475
the 1998,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,The single earned all artists a nomination for Best Rap Performance by a Duo or Group at the 1998 Grammy Awards.,27,6,== Career == | === 1990–1999: TLC ===,50475
1999,CD,YEAR_REGEX_1,TIME,time_reference,"TLC's third album, FanMail, was released in 1999 and sold over 14 million copies worldwide.",28,6,== Career == | === 1990–1999: TLC ===,50475
the May 1999,DT NNP CD,PREFIX_REGEX_1 MONTH_REGEX YEAR_REGEX_1,MODIFIER TIME TIME,time_reference,"In the May 1999 issue of Vibe magazine, Lopes said, ""I've graduated from this era.",33,6,== Career == | === 1990–1999: TLC ===,50475
Weekly,NNP,TIME_UNIT_REGEX,TIME,time_reference,"In response to Lopes' comments, Watkins and Thomas stated to Entertainment Weekly that Lopes ""doesn't respect the whole group"" and ""Left Eye is only concerned with Left Eye.""",35,6,== Career == | === 1990–1999: TLC ===,50475
Weekly,NNP,TIME_UNIT_REGEX,TIME,time_reference,"In response, Lopes sent a reply through Entertainment Weekly issuing a ""challenge"" to Watkins and Thomas to release solo albums and let the public decide who was the ""greatest"" member of TLC:",36,6,== Career == | === 1990–1999: TLC ===,50475
"October 1 , 2000","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Each [album]... will be due to the record label by October 1, 2000...",1,7,== Career == | === 1990–1999: TLC ===,50475
every now,DT RB,PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER TIME,time_reference,"TLC then addressed these struggles by saying that they are very much like sisters who have their disagreements every now and then as Lopes explained, ""It's deeper than a working relationship.",2,8,== Career == | === 1990–1999: TLC ===,50475
1998–2002,CD,YEAR_REGEX_1,TIME,time_reference,1998–2002: Solo career ===,1,9,== Career == | === 1998–2002: Solo career ===,50475
1998,CD,YEAR_REGEX_1,TIME,time_reference,"In 1998, Lopes hosted the short-lived MTV series The Cut, in which a list of aspiring pop stars, rappers, and rock bands competed against each other in front of judges.",0,10,== Career == | === 1998–2002: Solo career ===,50475
2000,CD,YEAR_REGEX_1,TIME,time_reference,"In 2000, Lopes became a featured rapper on several singles, including Spice Girl Melanie C's ""Never Be the Same Again"", which topped the charts in 35 countries, including the United Kingdom.",8,10,== Career == | === 1998–2002: Solo career ===,50475
their 2000,PRP$ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,,"She was also featured on ""U Know What's Up"", the first single from Donell Jones' second album, Where I Wanna Be, and she rapped a verse in ""Space Cowboy"" with NSYNC on their 2000 album, No Strings Attached.",9,10,== Career == | === 1998–2002: Solo career ===,50475
"October 4 , 2000","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On October 4, 2000, Lopes co-hosted the UK's MOBO Awards with Trevor Nelson, where she also performed ""U Know What's Up"" with Jones.",10,10,== Career == | === 1998–2002: Solo career ===,50475
2000,CD,YEAR_REGEX_1,TIME,time_reference,"She also collaborated on ""Gimme Some"" by Toni Braxton for her 2000 album The Heat.",11,10,== Career == | === 1998–2002: Solo career ===,50475
previously,RB,TIMELINE_REGEX,TIME,time_reference,"She had previously featured on Keith Sweat's song ""How Do You Like It?"".",12,10,== Career == | === 1998–2002: Solo career ===,50475
