time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
1959,CD,YEAR_REGEX_1,TIME,time_reference,1,3
1983,CD,YEAR_REGEX_1,TIME,time_reference,0,5
1961,CD,YEAR_REGEX_1,TIME,time_reference,1,8
1986,CD,YEAR_REGEX_1,TIME,time_reference,0,9
the 1980s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,9
the 1990s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,9
next year,JJ NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,1,9
1993,CD,YEAR_REGEX_1,TIME,time_reference,0,10
of 2005,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,2,10
"August 17 , 2004","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,12
2001,CD,YEAR_REGEX_1,TIME,time_reference,0,13
1960,CD,YEAR_REGEX_1,TIME,time_reference,0,26
2006,CD,YEAR_REGEX_1,TIME,time_reference,0,28
1998,CD,YEAR_REGEX_1,TIME,time_reference,0,29
1994–1997,CD,YEAR_REGEX_1,TIME,time_reference,0,30
1987–1994,CD,YEAR_REGEX_1,TIME,time_reference,0,31
1978–1983,CD,YEAR_REGEX_1,TIME,time_reference,0,32
1968,CD,YEAR_REGEX_1,TIME,time_reference,0,33
1995,CD,YEAR_REGEX_1,TIME,time_reference,0,35
1971,CD,YEAR_REGEX_1,TIME,time_reference,1,36
1971,CD,YEAR_REGEX_1,TIME,time_reference,0,37
1969,CD,YEAR_REGEX_1,TIME,time_reference,0,38
1969,CD,YEAR_REGEX_1,TIME,time_reference,0,39
1967,CD,YEAR_REGEX_1,TIME,time_reference,0,40
1967,CD,YEAR_REGEX_1,TIME,time_reference,0,41
1967,CD,YEAR_REGEX_1,TIME,time_reference,1,42
1966,CD,YEAR_REGEX_1,TIME,time_reference,1,43
1964,CD,YEAR_REGEX_1,TIME,time_reference,0,44
1964,CD,YEAR_REGEX_1,TIME,time_reference,0,45
1964,CD,YEAR_REGEX_1,TIME,time_reference,0,46
1963,CD,YEAR_REGEX_1,TIME,time_reference,0,47
1962,CD,YEAR_REGEX_1,TIME,time_reference,0,48
1962,CD,YEAR_REGEX_1,TIME,time_reference,0,49
1961,CD,YEAR_REGEX_1,TIME,time_reference,0,50
