time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"January 30 , 1929","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Roger Newland Shepard (born January 30, 1929) is an American cognitive scientist and author of the ""universal law of generalization"" (1987).",0,0,,2893969
1987,CD,YEAR_REGEX_1,TIME,time_reference,"Roger Newland Shepard (born January 30, 1929) is an American cognitive scientist and author of the ""universal law of generalization"" (1987).",0,0,,2893969
"January 30 , 1929","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Shepard was born January 30, 1929 in Palo Alto, California.",0,2,== Biography ==,2893969
1951,CD,YEAR_REGEX_1,TIME,time_reference,"He attended Stanford as an undergraduate, eventually majoring in psychology and graduating in 1951.",3,2,== Biography ==,2893969
1955,CD,YEAR_REGEX_1,TIME,time_reference,"Shepard obtained his Ph.D. in psychology at Yale University in 1955 under Carl Hovland, and completed post-doctoral training with George Armitage Miller at Harvard.",4,2,== Biography ==,2893969
1997,CD,YEAR_REGEX_1,TIME,time_reference,"In 1997, Shepard was one of the founders of the Kira Institute.",8,2,== Biography ==,2893969
now,RB,TIMELINE_REGEX,TIME,time_reference,Shepard began researching mechanisms of generalization while he was still a graduate student at Yale: I was now convinced that the problem of generalization was the most fundamental problem confronting learning theory.,0,5,== Research == | === Generalization and mental representation ===,2893969
1987,CD,YEAR_REGEX_1,TIME,time_reference,"Shepard and collaborators ""mapped"" large sets of stimuli using the rank order of likelihood that a person or organism would generalize the response to Stimulus A and give the same response to Stimulus B. To use an example from Shepard's 1987 paper proposing his ""Universal law of generalization"": will a bird ""generalize"" that it can eat a worm slightly different from a previous worm that it found was edible?Shepard used geometric and spatial metaphors to map a psychological space where ""distances"" between different stimuli were larger or smaller depending on whether the stimuli were, respectively, less or more similar.",0,6,== Research == | === Generalization and mental representation ===,2893969
1958,CD,YEAR_REGEX_1,TIME,time_reference,"In 1958, Shepard took a job at Bell Labs, whose computer facilities made it possible for him to expand earlier work on generalization.",0,8,== Research == | === Non-metric multidimensional scaling ===,2893969
now,RB,TIMELINE_REGEX,TIME,time_reference,"He reports, ""This led to the development of the methods now known as nonmetric multidimensional scaling – first by me (Shepard, 1962a, 1962b) and then, with improvements, by my Bell Labs mathematical colleague Joseph Kruskal (1964a, 1964b).""According to the American Psychological Association, ""nonmetric multidimensional scaling .. has provided the social sciences with a tool of enormous power for uncovering metric structures from ordinal data on similarities.""",1,8,== Research == | === Non-metric multidimensional scaling ===,2893969
"1962a , 1962b","CD , CD",YEAR_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,,"He reports, ""This led to the development of the methods now known as nonmetric multidimensional scaling – first by me (Shepard, 1962a, 1962b) and then, with improvements, by my Bell Labs mathematical colleague Joseph Kruskal (1964a, 1964b).""According to the American Psychological Association, ""nonmetric multidimensional scaling .. has provided the social sciences with a tool of enormous power for uncovering metric structures from ordinal data on similarities.""",1,8,== Research == | === Non-metric multidimensional scaling ===,2893969
"1964a , 1964b","CD , CD",YEAR_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,,"He reports, ""This led to the development of the methods now known as nonmetric multidimensional scaling – first by me (Shepard, 1962a, 1962b) and then, with improvements, by my Bell Labs mathematical colleague Joseph Kruskal (1964a, 1964b).""According to the American Psychological Association, ""nonmetric multidimensional scaling .. has provided the social sciences with a tool of enormous power for uncovering metric structures from ordinal data on similarities.""",1,8,== Research == | === Non-metric multidimensional scaling ===,2893969
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Awarding Shepard its Rumelhart Prize in 2006, the Cognitive Science Society called nonmetric multidimensional scaling a ""highly influential early contribution,"" explaining that:This method provided a new means of recovering the internal structure of mental representations from qualitative measures of similarity.",0,9,== Research == | === Non-metric multidimensional scaling ===,2893969
1968,CD,YEAR_REGEX_1,TIME,time_reference,"Inspired by a dream of three-dimensional objects rotating in space, Shepard began in 1968 to design experiments to measure mental rotation.",0,11,== Research == | === Mental rotation ===,2893969
