time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"May 9 , 1944","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,0
Springfield,NNP,SEASON_REGEX,TIME,time_reference,1,0
Springfield,NNP,SEASON_REGEX,TIME,time_reference,2,0
Springfield,NNP,SEASON_REGEX,TIME,time_reference,0,2
the late 1960s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,0,3
Springfield,NNP,SEASON_REGEX,TIME,time_reference,0,3
1974,CD,YEAR_REGEX_1,TIME,time_reference,3,3
Fallin,NNP,SEASON_REGEX,TIME,time_reference,6,3
1974,CD,YEAR_REGEX_1,TIME,time_reference,6,3
1976,CD,YEAR_REGEX_1,TIME,time_reference,0,4
1979,CD,YEAR_REGEX_1,TIME,time_reference,4,4
1983,CD,YEAR_REGEX_1,TIME,time_reference,6,4
pastor,NN,TIMELINE_REGEX,TIME,time_reference,6,4
Pastor,NNP,TIMELINE_REGEX,TIME,time_reference,7,4
December 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,7,4
2006,CD,YEAR_REGEX_1,TIME,time_reference,9,4
The 2006,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,10,4
2007,CD,YEAR_REGEX_1,TIME,time_reference,11,4
2008 and 2009,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,14,4
early 2009,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,15,4
2009,CD,YEAR_REGEX_1,TIME,time_reference,16,4
"October 23 , 2010","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,17,4
Springfield,NNP,SEASON_REGEX,TIME,time_reference,17,4
Springfield,NNP,SEASON_REGEX,TIME,time_reference,18,4
a 2011,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,18,4
2011,CD,YEAR_REGEX_1,TIME,time_reference,18,4
