time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
Mo,NNP,TIME_UNIT_REGEX,TIME,time_reference,"After starting his adulthood in Phoenix, his drumming career in Arizona began with local band Mo Nasty, after which time he moved on to The Sammus Theory.",1,2,== History ==,32881812
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009, Brian ""Head"" Welch, the guitarist for Korn asked Johnson along with Michael Valentine (bass), Scott Von Heldt (guitar), Ralph Patlan (guitar), and Brian Ruedy (keyboards, programming) to join his up-and-coming musical ensemble.",2,2,== History ==,32881812
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011, following Pete Hawley's departure from Back from Ashes, the band recruited Johnson to play for the ensemble.",3,2,== History ==,32881812
February 2012,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In February 2012, Back from Ashes hired Bobby Anderson to play percussion on a long-term basis for the band.",4,2,== History ==,32881812
2012,CD,YEAR_REGEX_1,TIME,time_reference,"In 2012, it was revealed that Johnson had formed the band Love and Death with Welch and Valentine.",5,2,== History ==,32881812
December 2020,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Some time prior to December 2020, Johnson parted ways with the ensemble.",6,2,== History ==,32881812
2014,CD,YEAR_REGEX_1,TIME,time_reference,"In 2014, Joe Rickard, the drummer for the Christian rock band Red, left the group, to join Manafest as a touring drummer so Johnson filled in for him on tours and performed percussion on Of Beauty and Rage, the fifth studio album from the ensemble.",7,2,== History ==,32881812
January 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In January 2019, Johnson became a settled member of Red.",8,2,== History ==,32881812
February 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Sometime before February 2021, he and the ensemble parted ways.",9,2,== History ==,32881812
late 2015,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In late 2015, Johnson performed in multiple shows with American rock band Seasons After.",10,2,== History ==,32881812
2016 and 2017,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"In 2016 and 2017, Johnson performed in multiple shows with American nu-metal band Flaw.",11,2,== History ==,32881812
March 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In March 2021, American rock band Soundmankillz welcomed the percussionist into their ensemble.",12,2,== History ==,32881812
