time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"July 3 , 1945","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,0
two decades,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,1,1
April 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,1,1
2005,CD,YEAR_REGEX_1,TIME,time_reference,1,1
1945,CD,YEAR_REGEX_1,TIME,time_reference,0,3
these early years,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,2,3
1972,CD,YEAR_REGEX_1,TIME,time_reference,2,5
the late 19th century,DT JJ JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 DIGIT_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,4,7
1979,CD,YEAR_REGEX_1,TIME,time_reference,1,9
three months,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,3,9
1980,CD,YEAR_REGEX_1,TIME,time_reference,4,9
later years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,6,9
late 1988/early 1989,RB JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1 YEAR_REGEX_1,MODIFIER TIME TIME,time_reference,7,9
1989,CD,YEAR_REGEX_1,TIME,time_reference,0,11
the late 1990s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,4,11
2017,CD,YEAR_REGEX_1,TIME,time_reference,5,11
"April 28 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,5,11
December 2018 and March 2019,NNP CD CC NNP CD,MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX YEAR_REGEX_1,TIME TIME MODIFIER TIME TIME,time_reference,6,11
1990,CD,YEAR_REGEX_1,TIME,time_reference,0,14
1978,CD,YEAR_REGEX_1,TIME,time_reference,0,16
1981,CD,YEAR_REGEX_1,TIME,time_reference,0,18
1983,CD,YEAR_REGEX_1,TIME,time_reference,0,19
1983,CD,YEAR_REGEX_1,TIME,time_reference,0,20
1985,CD,YEAR_REGEX_1,TIME,time_reference,0,21
1985,CD,YEAR_REGEX_1,TIME,time_reference,0,22
1988,CD,YEAR_REGEX_1,TIME,time_reference,0,23
1989,CD,YEAR_REGEX_1,TIME,time_reference,0,24
1989,CD,YEAR_REGEX_1,TIME,time_reference,0,25
1989,CD,YEAR_REGEX_1,TIME,time_reference,0,26
1990,CD,YEAR_REGEX_1,TIME,time_reference,0,27
1991,CD,YEAR_REGEX_1,TIME,time_reference,0,28
1993,CD,YEAR_REGEX_1,TIME,time_reference,0,29
1996,CD,YEAR_REGEX_1,TIME,time_reference,0,30
1996,CD,YEAR_REGEX_1,TIME,time_reference,0,31
1996,CD,YEAR_REGEX_1,TIME,time_reference,0,32
'98,POS,YEAR_REGEX_2,TIME,,0,33
1998,CD,YEAR_REGEX_1,TIME,time_reference,0,33
1999,CD,YEAR_REGEX_1,TIME,time_reference,0,34
2000,CD,YEAR_REGEX_1,TIME,time_reference,0,35
2002,CD,YEAR_REGEX_1,TIME,time_reference,0,36
2006,CD,YEAR_REGEX_1,TIME,time_reference,0,37
2010,CD,YEAR_REGEX_1,TIME,time_reference,0,38
2015,CD,YEAR_REGEX_1,TIME,time_reference,0,39
2016,CD,YEAR_REGEX_1,TIME,time_reference,0,40
1996,CD,YEAR_REGEX_1,TIME,time_reference,0,42
