time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
11 June 1947,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Richard William Palmer-James (born 11 June 1947) is an English musician.,0,0,,3343154
the early 1970s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,"He may be best known as one of the founder members of Supertramp (playing guitar and songwriter); writing lyrics for several songs by the progressive rock group King Crimson in the early 1970s; and for writing lyrics for the 1985 hit ""(I'll Never Be) Maria Magdalena"" by Sandra.",1,0,,3343154
the 1985,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"He may be best known as one of the founder members of Supertramp (playing guitar and songwriter); writing lyrics for several songs by the progressive rock group King Crimson in the early 1970s; and for writing lyrics for the 1985 hit ""(I'll Never Be) Maria Magdalena"" by Sandra.",1,0,,3343154
days,NNS,TIME_UNIT_REGEX,TIME,time_reference,"He also co-wrote the lyrics of ""Goldrush"", a song written during his days in the band but not recorded until their 2002 album Slow Motion.",3,1,,3343154
their 2002,PRP$ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,,"He also co-wrote the lyrics of ""Goldrush"", a song written during his days in the band but not recorded until their 2002 album Slow Motion.",3,1,,3343154
1974,CD,YEAR_REGEX_1,TIME,time_reference,"He did not participate in any of King Crimson's recordings, but worked with John Wetton and David Cross after Robert Fripp disbanded the group in 1974.",5,1,,3343154
the early 1970s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,Palmer has lived in Munich since the early 1970s.,0,2,,3343154
1978,CD,YEAR_REGEX_1,TIME,time_reference,"In 1978 he was visited by John Wetton and W.J. Hutcheson, his bandmates in Tetrad.",1,2,,3343154
10 days,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Over 10 days, with the German drummer Curt Cress, they recorded, as ""Jack-Knife"", an album of songs from the early days called I Wish You Would.",2,2,,3343154
the early days,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"Over 10 days, with the German drummer Curt Cress, they recorded, as ""Jack-Knife"", an album of songs from the early days called I Wish You Would.",2,2,,3343154
1997,CD,YEAR_REGEX_1,TIME,time_reference,"In 1997 he released a CD with former bandmate John Wetton, Monkey Business, a compilation of unreleased material including some songs that were recorded for the first time in studio, including a King Crimson tune called ""Doctor Diamond"".",5,2,,3343154
1970,CD,YEAR_REGEX_1,TIME,time_reference,1970 :,0,5,== Selected discography ==,3343154
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002 :,0,6,== Selected discography ==,3343154
1973,CD,YEAR_REGEX_1,TIME,time_reference,1973 :,0,7,== Selected discography ==,3343154
1973,CD,YEAR_REGEX_1,TIME,time_reference,1973 :,0,8,== Selected discography ==,3343154
1974,CD,YEAR_REGEX_1,TIME,time_reference,1974 :,0,9,== Selected discography ==,3343154
1974,CD,YEAR_REGEX_1,TIME,time_reference,1974 :,0,10,== Selected discography ==,3343154
1977,CD,YEAR_REGEX_1,TIME,time_reference,1977 :,0,11,== Selected discography ==,3343154
1977,CD,YEAR_REGEX_1,TIME,time_reference,1977 : 1-2-3-4... Gimme Some More!,0,12,== Selected discography ==,3343154
1978,CD,YEAR_REGEX_1,TIME,time_reference,1978 :,0,13,== Selected discography ==,3343154
1979,CD,YEAR_REGEX_1,TIME,time_reference,1979 :,0,14,== Selected discography ==,3343154
1979,CD,YEAR_REGEX_1,TIME,time_reference,1979 :,0,15,== Selected discography ==,3343154
1979,CD,YEAR_REGEX_1,TIME,time_reference,1979 : I Wish You Would - With John Wetton.,0,16,== Selected discography ==,3343154
1979,CD,YEAR_REGEX_1,TIME,time_reference,"1979 : Start the Fire - co-composer of two songs: ""Walking on Air"" and ""Touch Me""Eruption",0,17,== Selected discography ==,3343154
1983,CD,YEAR_REGEX_1,TIME,time_reference,1983 :,0,18,== Selected discography ==,3343154
1000 years,CD NNS,YEAR_REGEX_1 TIME_UNIT_REGEX,TIME TIME,time_reference,"Our Way - co-composer of two songs: ""Big Bang"" and ""In 1000 years""John Wetton",1,18,== Selected discography ==,3343154
1998,CD,YEAR_REGEX_1,TIME,time_reference,1998 :,0,19,== Selected discography ==,3343154
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011 :,0,20,== Selected discography ==,3343154
1998,CD,YEAR_REGEX_1,TIME,time_reference,1998 :,0,21,== Selected discography ==,3343154
1972 - 1997,CD : CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,,Monkey Business 1972 - 1997,1,21,== Selected discography ==,3343154
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014 :,0,22,== Selected discography ==,3343154
1972 - 1997Richard,CD : CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,,Jack-Knife / Monkey Business 1972 - 1997Richard Palmer-James,1,22,== Selected discography ==,3343154
2016,CD,YEAR_REGEX_1,TIME,time_reference,2016 :,0,23,== Selected discography ==,3343154
10 June 2017,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Discography, discogs.com; accessed 10 June 2017.",0,26,== Sources ==,3343154
