time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"August 16 , 1883 – March 5 , 1984","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"Hisao Tanabe  (田辺 尚雄, Tanabe Hisao, August 16, 1883 – March 5, 1984) was a Japanese musicologist responsible for initiating the study of Asian music in Japan.",0,0,,33424927
1920,CD,YEAR_REGEX_1,TIME,time_reference,"Heisao was learning the principles of musicology from a French missionary when he began his studies in 1920, researching the musical traditions of the Imperial House of Japan.",0,2,== Career ==,33424927
April 1921,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In April 1921, he visited Korea and played an important role in rescuing the threatened music tradition of the Joseon court.",1,2,== Career ==,33424927
1921,CD,YEAR_REGEX_1,TIME,time_reference,"Later in 1921, he invented a new type of kokyū for playing high notes.",4,2,== Career ==,33424927
1981,CD,YEAR_REGEX_1,TIME,time_reference,"In 1981, he was honored as a Person of Cultural Merit.",0,3,== Career ==,33424927
