time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"December 20 , 1933 – April 24 , 2020","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0
two summers,CD NNS,BASIC_NUMBER_REGEX_1 SEASON_REGEX,NUMERAL TIME,time_reference,1,2
1974,CD,YEAR_REGEX_1,TIME,time_reference,0,4
2010,CD,YEAR_REGEX_1,TIME,time_reference,0,4
28 years,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,1,4
1997,CD,YEAR_REGEX_1,TIME,time_reference,2,4
years,NNS,TIME_UNIT_REGEX,TIME,time_reference,2,4
of the Year,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,2,4
1972-2015,JJ,YEAR_REGEX_1,TIME,time_reference,1,7
2012,CD,YEAR_REGEX_1,TIME,time_reference,2,7
2009-2015,JJ,YEAR_REGEX_1,TIME,time_reference,3,7
2016,CD,YEAR_REGEX_1,TIME,time_reference,0,8
