time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
7 October 1982,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Li Yundi (simplified Chinese: 李云迪; traditional Chinese: 李雲迪; pinyin: Lǐ Yúndí; born 7 October 1982) is a Chinese concert pianist popularly known as Yundi and formerly Yundi Li.,0,0,,959183
the 2000,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Li is most well known for being the youngest pianist, at the age of 18, to win the 2000 XIV International Chopin Piano Competition.",1,0,,959183
2015,CD,YEAR_REGEX_1,TIME,time_reference,He later served as the youngest juror in history for the competition in 2015.,2,0,,959183
March 1987,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Studying with Tan Jianmin, a local music teacher, Yundi mastered the instrument so quickly that he won the top prize at the Chongqing Children's Accordion Competition in March 1987.",5,2,== Early life ==,959183
Two years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Two years later, his teacher introduced him to Dan Zhaoyi, one of China's most renowned piano teachers, with whom he would study for nine years.",7,2,== Early life ==,959183
nine years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Two years later, his teacher introduced him to Dan Zhaoyi, one of China's most renowned piano teachers, with whom he would study for nine years.",7,2,== Early life ==,959183
1994,CD,YEAR_REGEX_1,TIME,time_reference,"In 1994, when Mr Dan accepted a job offer from Shenzhen Arts School (Shenzhen, China), Yundi followed him there to continue his study with him until his triumph at the 2000 International Chopin Piano Competition.",9,2,== Early life ==,959183
the 2000,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In 1994, when Mr Dan accepted a job offer from Shenzhen Arts School (Shenzhen, China), Yundi followed him there to continue his study with him until his triumph at the 2000 International Chopin Piano Competition.",9,2,== Early life ==,959183
2001 to 2006,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"Yundi later studied at the Hochschule für Musik, Theater und Medien Hannover in Hannover, Germany, from 2001 to 2006.",10,2,== Early life ==,959183
1994,CD,YEAR_REGEX_1,TIME,time_reference,He won the Children's Piano Competition in Beijing in 1994.,1,4,== Awards ==,959183
