time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"November 29 , 1933 – March 31 , 2017","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0
a 2001,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,3,0
"November 29 , 1933","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,2
1952 to 1954,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,3,2
1955,CD,YEAR_REGEX_1,TIME,time_reference,4,2
1960,CD,YEAR_REGEX_1,TIME,time_reference,12,2
a summer,DT NN,INARTICLE_REGEX SEASON_REGEX,MODIFIER TIME,time_reference,0,4
1957 to 1960,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,3,4
1960,CD,YEAR_REGEX_1,TIME,time_reference,4,4
2009,CD,YEAR_REGEX_1,TIME,time_reference,1,5
the 1960s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,3,5
2003,CD,YEAR_REGEX_1,TIME,time_reference,4,5
1962 and 1963,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,9,5
1965,CD,YEAR_REGEX_1,TIME,time_reference,10,5
1964,CD,YEAR_REGEX_1,TIME,time_reference,13,5
1971,CD,YEAR_REGEX_1,TIME,time_reference,16,5
the years,DT NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,17,5
1976,CD,YEAR_REGEX_1,TIME,time_reference,17,5
many years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,20,5
1997–1998,CD,YEAR_REGEX_1,TIME,time_reference,22,5
1961,CD,YEAR_REGEX_1,TIME,time_reference,0,7
an ad,DT NN,INARTICLE_REGEX ERA_REGEX,MODIFIER TIME,time_reference,2,7
year,NN,TIME_UNIT_REGEX,TIME,time_reference,0,8
1965,CD,YEAR_REGEX_1,TIME,time_reference,9,8
1963,CD,YEAR_REGEX_1,TIME,time_reference,0,10
1978,CD,YEAR_REGEX_1,TIME,time_reference,0,10
1988,CD,YEAR_REGEX_1,TIME,time_reference,0,10
2002,CD,YEAR_REGEX_1,TIME,time_reference,1,10
1972,CD,YEAR_REGEX_1,TIME,time_reference,2,10
2003,CD,YEAR_REGEX_1,TIME,time_reference,3,10
1965,CD,YEAR_REGEX_1,TIME,time_reference,4,10
"June 5 , 1960","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,1,12
1976,CD,YEAR_REGEX_1,TIME,time_reference,3,12
a year,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,3,12
"April 18 , 1987","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,4,12
"April 25 , 2009","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,5,12
30 years,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,5,12
"March 31 , 2017","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,14
83 years old,CD NNS JJ,DIGIT_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,NUMERAL TIME MODIFIER,,0,14
2003–04,CD,YEAR_REGEX_1,TIME,time_reference,0,28
"October 27 , 2009","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,29
"Fall , 1987","NNP , CD",SEASON_REGEX COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_reference,0,30
