time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
8 June 1990,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Luciana Mocchi (born 8 June 1990) is a Uruguayan singer and composer.,0,0,,55904156
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009 she won the ""Canto Joven – Movida Joven 2009"" award and a mention for best composition, granted by the Municipality of Montevideo.",3,2,== Biography ==,55904156
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009 she won the ""Canto Joven – Movida Joven 2009"" award and a mention for best composition, granted by the Municipality of Montevideo.",3,2,== Biography ==,55904156
The following year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,The following year she received the same prize and a unique mention for composition.,4,2,== Biography ==,55904156
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011, urged by singer and producer Lea Ben Sasson, she began recording La Velocidad del paisaje, her first studio material, preproduced by Martín Musotto, brother of the Argentine percussionist Ramiro Musotto.",0,3,== Biography ==,55904156
April 2014,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In April 2014 she was the opening act for Paul McCartney at the Estadio Centenario in Montevideo, which was a turning point in the visibility of her career.",3,3,== Biography ==,55904156
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Mocchi was the executive producer of the documentary Botija de mi país (2013), which deals with the careers of ten Uruguayan musicians established in the United States, including José Serebrier, who was nominated 38 times for Grammy Awards, and won eight.",4,3,== Biography ==,55904156
November 2016,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In November 2016 she presented her second album entitled Mañana será otro disco, with the participation of Fernando Cabrera, Julián Kartun, Andrés Beeuwsaert, and violinist Christine Brebes.",5,3,== Biography ==,55904156
2013,CD,YEAR_REGEX_1,TIME,time_reference,La velocidad del paisaje (2013),0,5,== Discography ==,55904156
2016,CD,YEAR_REGEX_1,TIME,time_reference,Mañana será otro disco (2016),0,6,== Discography ==,55904156
