time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
7 July 1942 – 24 November 2012,CD NNP CD NNP CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME MODIFIER NUMERAL TIME TIME,time_range,0,0
the 1960s and 1970s,DT NNS CC CD,PREFIX_REGEX_1 YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,MODIFIER TIME MODIFIER TIME,time_reference,0,0
the now,DT RB,PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER TIME,time_reference,0,0
1938,CD,YEAR_REGEX_1,TIME,time_reference,1,2
1912-2005,CD,YEAR_REGEX_1,TIME,time_reference,2,2
1914-1987,JJ,YEAR_REGEX_1,TIME,time_reference,2,2
1963,CD,YEAR_REGEX_1,TIME,time_reference,1,4
that night,IN NN,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,0,5
a 1972,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,0,6
five years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,2,6
1964,CD,YEAR_REGEX_1,TIME,time_reference,1,8
autumn,NN,SEASON_REGEX,TIME,time_reference,2,8
year,NN,TIME_UNIT_REGEX,TIME,time_reference,2,8
1964,CD,YEAR_REGEX_1,TIME,time_reference,4,8
1966,CD,YEAR_REGEX_1,TIME,time_reference,7,8
late 1966,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,8,8
The following year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,9,8
a 2005,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,13,8
Now,RB,TIMELINE_REGEX,TIME,time_reference,5,9
the 1970s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,10
1975,CD,YEAR_REGEX_1,TIME,time_reference,2,10
1978,CD,YEAR_REGEX_1,TIME,time_reference,3,10
1981,CD,YEAR_REGEX_1,TIME,time_reference,4,10
1987,CD,YEAR_REGEX_1,TIME,time_reference,5,10
the 1995,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,7,10
1966,CD,YEAR_REGEX_1,TIME,time_reference,7,10
the 2005,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,7,10
1958-1978,CD,YEAR_REGEX_1,TIME,time_reference,8,10
2005,CD,YEAR_REGEX_1,TIME,time_reference,9,10
presentation,NN,TIMELINE_REGEX,TIME,time_reference,9,10
2014,CD,YEAR_REGEX_1,TIME,time_reference,0,11
2014,CD,YEAR_REGEX_1,TIME,time_reference,2,11
20 January 2014,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,2,11
24 November 2012,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,15
of 33 years,IN CD NNS,PREFIX_REGEX_1 DIGIT_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,1,15
70 years old,CD NNS JJ,DIGIT_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,NUMERAL TIME MODIFIER,,2,15
Friday,NNP,WEEK_REGEX,TIME,time_reference,0,19
11 January 2008,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,19
2013,CD,YEAR_REGEX_1,TIME,time_reference,0,21
September 2006,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,26
