time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
December 2010,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Taylor was arrested in December 2010 after a brawl in Memphis and charged with attempted second-degree murder, inciting to riot and aggravated riot.",0,1,,41230056
August 2013,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In August 2013, he was again arrested and charged with several felonies after police in Memphis found drugs, a loaded handgun and more than $3,400 in cash in a vehicle containing Taylor and three other men.",1,1,,41230056
2016,CD,YEAR_REGEX_1,TIME,time_reference,Billionaire Dreams (2016),0,4,== Discography == | === Album ===,41230056
2011,CD,YEAR_REGEX_1,TIME,time_reference,Already Famous (2011),0,6,== Discography == | === Mixtapes ===,41230056
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Born a Soulja, Die a Vet (2012)",0,7,== Discography == | === Mixtapes ===,41230056
2012,CD,YEAR_REGEX_1,TIME,time_reference,Definition of a G (2012),0,8,== Discography == | === Mixtapes ===,41230056
2013,CD,YEAR_REGEX_1,TIME,time_reference,The Story of OG (2013),0,9,== Discography == | === Mixtapes ===,41230056
2013,CD,YEAR_REGEX_1,TIME,time_reference,Definition of a G 2 (2013),0,10,== Discography == | === Mixtapes ===,41230056
2015,CD,YEAR_REGEX_1,TIME,time_reference,Street Certified (2015),0,11,== Discography == | === Mixtapes ===,41230056
2018,CD,YEAR_REGEX_1,TIME,time_reference,Allah (2018),0,12,== Discography == | === Mixtapes ===,41230056
