time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"September 20 , 1922 – October 29 , 1953","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"William Kapell (September 20, 1922 – October 29, 1953) was an American pianist and recording artist, killed at the age of 31 in the crash of a commercial airliner returning from a concert tour in Australia.",0,0,,439488
"September 20 , 1922","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"William Kapell was born in New York City on September 20, 1922, and grew up in the eastside neighborhood of Yorkville, Manhattan, where his parents owned a Lexington Avenue bookstore.",0,2,== Biography ==,439488
a week,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Dorothea Anderson La Follette (the wife of Chester La Follette) met Kapell at the Third Street Music School and became his teacher, giving him lessons several times a week at her studio on West 64th Street.",2,2,== Biography ==,439488
1941,CD,YEAR_REGEX_1,TIME,time_reference,"In 1941, he won the Philadelphia Orchestra's youth competition as well as the prestigious Naumburg Award.",1,3,== Biography ==,439488
The following year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The following year, the Walter W. Naumburg Foundation sponsored the 19-year-old pianist's New York début, a recital which won him the Town Hall Award for the year's outstanding concert by a musician under 30.",2,3,== Biography ==,439488
the year,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"The following year, the Walter W. Naumburg Foundation sponsored the 19-year-old pianist's New York début, a recital which won him the Town Hall Award for the year's outstanding concert by a musician under 30.",2,3,== Biography ==,439488
early twenties,JJ NNS,PREFIX_REGEX_1 DECADE_REGEX,MODIFIER TIME,time_reference,"Kapell achieved fame while in his early twenties, in part as a result of his performances of Aram Khachaturian's Piano Concerto in D-flat.",4,3,== Biography ==,439488
1946,CD,YEAR_REGEX_1,TIME,time_reference,His 1946 world premiere recording of the piece with Serge Koussevitzky and the Boston Symphony Orchestra was a sell-out hit.,5,3,== Biography ==,439488
the late 1940s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,"By the late 1940s, Kapell had toured the United States, Canada, Europe and Australia to immense acclaim and was widely considered the most brilliant and audacious of his generation of young American pianists.",8,3,== Biography ==,439488
"May 18 , 1948","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On May 18, 1948, he married Rebecca Anna Lou Melson, with whom he had two children.",9,3,== Biography ==,439488
eight hours,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Kapell practiced up to eight hours a day, keeping track of his sessions with a notebook and clock.",3,4,== Biography ==,439488
a day,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Kapell practiced up to eight hours a day, keeping track of his sessions with a notebook and clock.",3,4,== Biography ==,439488
August to October 1953,NNP TO NNP CD,MONTH_REGEX LINKAGE_REGEX MONTH_REGEX YEAR_REGEX_1,TIME MODIFIER TIME TIME,time_reference,"From August to October 1953, Kapell toured Australia, playing 37 concerts in 14 weeks, appearing in Sydney, Brisbane, Melbourne, Bendigo, Shepparton, Albury, Horsham and finally in Geelong.",0,5,== Biography ==,439488
14 weeks,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"From August to October 1953, Kapell toured Australia, playing 37 concerts in 14 weeks, appearing in Sydney, Brisbane, Melbourne, Bendigo, Shepparton, Albury, Horsham and finally in Geelong.",0,5,== Biography ==,439488
"October 22 , 1953","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Kapell played the final concert of his Australian tour in Geelong, Victoria, on October 22, 1953, a recital which included a performance of Chopin's ""Funeral March"" Sonata.",0,7,== Biography == | === Death and aftermath ===,439488
March,NNP,MONTH_REGEX,TIME,time_reference,"Kapell played the final concert of his Australian tour in Geelong, Victoria, on October 22, 1953, a recital which included a performance of Chopin's ""Funeral March"" Sonata.",0,7,== Biography == | === Death and aftermath ===,439488
Days,NNS,TIME_UNIT_REGEX,TIME,time_reference,"Days after the concert, he set off on his return flight to the United States, telling reporters at Mascot Airport he would never return to Australia because of the harsh comments from some Australian critics.",1,7,== Biography == | === Death and aftermath ===,439488
the morning,DT NN,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,"He was aboard BCPA Flight 304 when on the morning of October 29, 1953, the plane, descending to land in fog, struck the treetops and crashed on Kings Mountain, south of the San Francisco airport.",2,7,== Biography == | === Death and aftermath ===,439488
"of October 29 , 1953","IN NNP CD , CD",PREFIX_REGEX_1 MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"He was aboard BCPA Flight 304 when on the morning of October 29, 1953, the plane, descending to land in fog, struck the treetops and crashed on Kings Mountain, south of the San Francisco airport.",2,7,== Biography == | === Death and aftermath ===,439488
"October 30 , 1953","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"His friend, broadcaster Alistair Cooke, covered Kapell's death in his Letter from America on October 30, 1953.",4,7,== Biography == | === Death and aftermath ===,439488
November 2,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"On November 2, Kapell's funeral took place at the Stephen Wise Free Synagogue in New York; interment followed at the Mount Ararat Cemetery near Farmingdale, New York.",5,7,== Biography == | === Death and aftermath ===,439488
1955,CD,YEAR_REGEX_1,TIME,time_reference,"The Australian violinist Ernest Llewellyn, a long-time friend of Stern's, was the inaugural recipient in 1955.",7,7,== Biography == | === Death and aftermath ===,439488
the decades,DT NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,The fascination with Kapell's playing has continued in the decades since his death.,8,7,== Biography == | === Death and aftermath ===,439488
1926–2012,CD,YEAR_REGEX_1,TIME,time_reference,"Kapell's widow, Anna Lou Dehavenon (1926–2012), undertook a career as an expert on homelessness in New York in part as a result, she said, of her own experience of suddenly becoming a single mother with no income.",11,7,== Biography == | === Death and aftermath ===,439488
1954,CD,YEAR_REGEX_1,TIME,time_reference,"Kapell's estate sued BCPA, Qantas (which had taken over BCPA in 1954), and BOAC (which was alleged to have sold Kapell the ticket).",0,8,== Biography == | === Death and aftermath ===,439488
1964,CD,YEAR_REGEX_1,TIME,time_reference,"In 1964, more than ten years after the crash, Kapell's widow and two children were awarded US$924,396 in damages.",1,8,== Biography == | === Death and aftermath ===,439488
more than ten years,JJR IN CD NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,"In 1964, more than ten years after the crash, Kapell's widow and two children were awarded US$924,396 in damages.",1,8,== Biography == | === Death and aftermath ===,439488
1965,CD,YEAR_REGEX_1,TIME,time_reference,The award was overturned on appeal in 1965.,2,8,== Biography == | === Death and aftermath ===,439488
1986,CD,YEAR_REGEX_1,TIME,time_reference,"In 1986, the University of Maryland's piano competition was renamed the William Kapell International Piano Competition in Kapell's honor.",0,10,== Kapell International Piano Competition and Festival ==,439488
1998,CD,YEAR_REGEX_1,TIME,time_reference,It became quadrennial in 1998 and is currently held at the university's Clarice Smith Performing Arts Center.,1,10,== Kapell International Piano Competition and Festival ==,439488
currently,RB,TIMELINE_REGEX,TIME,time_reference,It became quadrennial in 1998 and is currently held at the university's Clarice Smith Performing Arts Center.,1,10,== Kapell International Piano Competition and Festival ==,439488
1944,CD,YEAR_REGEX_1,TIME,time_reference,"In 1944, Kapell signed an exclusive recording contract with RCA Victor.",0,12,== Recordings ==,439488
1960,CD,YEAR_REGEX_1,TIME,time_reference,"Some were issued on LP, but by 1960, all of Kapell's commercial recordings were out of print.",2,12,== Recordings ==,439488
the early 1970s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,RCA Victor reissued Beethoven's Piano Concerto No. 2 and Prokofiev's Piano Concerto No. 3 on LP in the early 1970s.,3,12,== Recordings ==,439488
decades,NNS,TIME_UNIT_REGEX,TIME,time_reference,"For decades, bootlegged copies of the commercial recordings and unlicensed recordings of ""live"" performances circulated among collectors.",4,12,== Recordings ==,439488
the 1980s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In the 1980s, RCA Victor released two compact discs of Kapell's recordings, including the Khatchaturian and Prokofiev Third Piano Concertos, and an all-Chopin disc.",0,13,== Recordings ==,439488
1998,CD,YEAR_REGEX_1,TIME,time_reference,"A nine-CD survey released by RCA Victor in 1998 contains Kapell's complete authorized recordings, including renditions of Chopin's mazurkas and sonatas as well as concertos by Rachmaninoff, Prokofiev, and Khatchaturian.",0,14,== Recordings ==,439488
1027,CD,YEAR_REGEX_1,TIME,time_reference,VAI 1027 contains broadcast recordings of the Rachmaninoff Piano Concerto No. 3 and the Khatchaturian Piano Concerto.,0,15,== Recordings ==,439488
1048,CD,YEAR_REGEX_1,TIME,time_reference,"Arbiter 108 features part of the Beethoven Piano Concerto No. 3 and the Shostakovich Concerto No. 1, and it includes Mussorgsky's Pictures at an Exhibition, which also appears in the RCA Victor set, as well as on VAI 1048, the last from an Australian recital of July 21, 1953.",1,15,== Recordings ==,439488
"of July 21 , 1953","IN NNP CD , CD",PREFIX_REGEX_1 MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"Arbiter 108 features part of the Beethoven Piano Concerto No. 3 and the Shostakovich Concerto No. 1, and it includes Mussorgsky's Pictures at an Exhibition, which also appears in the RCA Victor set, as well as on VAI 1048, the last from an Australian recital of July 21, 1953.",1,15,== Recordings ==,439488
2004,CD,YEAR_REGEX_1,TIME,time_reference,"In 2004, a number of recordings made during William Kapell's last Australian tour were returned to his family.",0,16,== Recordings ==,439488
2008,CD,YEAR_REGEX_1,TIME,time_reference,These were released by RCA Victor in 2008 as Kapell Rediscovered.,1,16,== Recordings ==,439488
several previously,JJ RB,PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER TIME,time_reference,"They contain several previously unknown performances of ""God Save the Queen"", Debussy's Suite bergamasque, Chopin's Barcarole, Op.",2,16,== Recordings ==,439488
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Downes, Stephen (2013).",0,20,== References ==,439488
"March 24 , 2005","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""The Undefeated"" review of William Kapell Edition by Michael Kimmelman, The New York Review of Books, March 24, 2005 (subscription required)",0,23,== External links ==,439488
