time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
18 July 1929,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,0
21 February 2019,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,0
eight years old,CD NNS JJ,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,NUMERAL TIME MODIFIER,,1,1
1948,CD,YEAR_REGEX_1,TIME,time_reference,2,1
1951,CD,YEAR_REGEX_1,TIME,time_reference,0,2
Five years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,1,2
1958,CD,YEAR_REGEX_1,TIME,time_reference,2,2
the years 1960 and 2000,DT NNS CD CC CD,PREFIX_REGEX_1 TIME_UNIT_REGEX YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,MODIFIER TIME TIME MODIFIER TIME,time_reference,3,2
1980,CD,YEAR_REGEX_1,TIME,time_reference,4,2
1976,CD,YEAR_REGEX_1,TIME,time_reference,0,3
