time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
18 February 1970,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Jeremy Francis ""Jez"" Williams (born 18 February 1970) is the guitarist/songwriter of Doves.",0,0,,10520028
1987,CD,YEAR_REGEX_1,TIME,time_reference,"His earlier bands include Metro Trinity, whose first EP called ""Die Young"" was released in 1987 on Cafetieria Records, based in Hulme, Manchester.",0,1,,10520028
2010 and 2020,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"While Doves were on a hiatus between 2010 and 2020, Jez and Andy Williams formed a side project called Black Rivers, releasing a self-titled album in February 2015.",0,2,,10520028
February 2015,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"While Doves were on a hiatus between 2010 and 2020, Jez and Andy Williams formed a side project called Black Rivers, releasing a self-titled album in February 2015.",0,2,,10520028
2000,CD,YEAR_REGEX_1,TIME,time_reference,"""Your Shadow Lay Across My Life"" (B-side to ""The Man Who Told Everything"", 2000; Lost Sides, 2003)",0,5,== Doves songs with Jez Williams singing lead vocals ==,10520028
2003,CD,YEAR_REGEX_1,TIME,time_reference,"""Your Shadow Lay Across My Life"" (B-side to ""The Man Who Told Everything"", 2000; Lost Sides, 2003)",0,5,== Doves songs with Jez Williams singing lead vocals ==,10520028
2002,CD,YEAR_REGEX_1,TIME,time_reference,"""Words"" (from The Last Broadcast, 2002)",0,6,== Doves songs with Jez Williams singing lead vocals ==,10520028
2005,CD,YEAR_REGEX_1,TIME,time_reference,"""The Storm"" (from Some Cities, 2005)",0,7,== Doves songs with Jez Williams singing lead vocals ==,10520028
2009,CD,YEAR_REGEX_1,TIME,time_reference,"""Jetstream"" (from Kingdom of Rust, 2009)",0,8,== Doves songs with Jez Williams singing lead vocals ==,10520028
2009,CD,YEAR_REGEX_1,TIME,time_reference,"""Compulsion"" (from Kingdom of Rust, 2009)",0,9,== Doves songs with Jez Williams singing lead vocals ==,10520028
2020,CD,YEAR_REGEX_1,TIME,time_reference,"""Mother Silverlake"" (from The Universal Want, 2020)",0,10,== Doves songs with Jez Williams singing lead vocals ==,10520028
