time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
30 September 1937,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,0
1958,CD,YEAR_REGEX_1,TIME,time_reference,1,1
1990 and 2005,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,4,1
1998,CD,YEAR_REGEX_1,TIME,time_reference,4,1
1962 to 1995,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,5,1
daily,JJ,PERIOD_REGEX,TIME,time_reference,5,1
1989 - 1992,CD : CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,,0,2
1995,CD,YEAR_REGEX_1,TIME,time_reference,1,2
1907–1948,CD,YEAR_REGEX_1,TIME,time_reference,0,4
1995,CD,YEAR_REGEX_1,TIME,time_reference,0,6
2011,CD,YEAR_REGEX_1,TIME,time_reference,0,7
2015,CD,YEAR_REGEX_1,TIME,time_reference,1,8
