time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
Tue,NNP,WEEK_ABBR_REGEX,TIME,time_reference,Tue West  (born 1977) is a Danish composer and musician.,0,0,,22617707
1977,CD,YEAR_REGEX_1,TIME,time_reference,Tue West  (born 1977) is a Danish composer and musician.,0,0,,22617707
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003: Tue West (Universal),0,3,== Discography == | === Albums ===,22617707
Tue,NN,WEEK_ABBR_REGEX,TIME,time_reference,2003: Tue West (Universal),0,3,== Discography == | === Albums ===,22617707
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,4,== Discography == | === Albums ===,22617707
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,5,== Discography == | === Albums ===,22617707
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,6,== Discography == | === Albums ===,22617707
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011:,0,7,== Discography == | === Albums ===,22617707
2016,CD,YEAR_REGEX_1,TIME,time_reference,2016:,0,8,== Discography == | === Albums ===,22617707
