time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
15 June 1981,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Virginia da Cunha (born 15 June 1981, in Cordoba, Argentina) is an Argentine singer, actress, and dancer; also she was a member of the Argentinian girl-group Bandana.",0,0,,18983806
2017,CD,YEAR_REGEX_1,TIME,time_reference,TBA (2017),0,5,== Solo ==,18983806
2003,CD,YEAR_REGEX_1,TIME,time_reference,Vivir Intentando (2003) as Virginia,0,9,== Filmography == | === Film ===,18983806
2001,CD,YEAR_REGEX_1,TIME,time_reference,Popstars: Argentina (2001) as herself,0,11,== Filmography == | === Television ===,18983806
2004,CD,YEAR_REGEX_1,TIME,time_reference,Sin código (2004) as Luz,0,12,== Filmography == | === Television ===,18983806
2013,CD,YEAR_REGEX_1,TIME,time_reference,Qitapenas (2013) as Paty Morris,0,13,== Filmography == | === Television ===,18983806
