time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"August 6 , 1918 – November 22 , 2001","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0
"Sunday , July 2 , 1944","NNP , NNP CD , CD",WEEK_REGEX COMMA_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,4,2
1944 and 1945,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,1,3
late fall,JJ NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,1,3
of 1945 to 1957,IN CD TO CD,PREFIX_REGEX_1 YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,MODIFIER TIME MODIFIER TIME,time_reference,1,3
1952,CD,YEAR_REGEX_1,TIME,time_reference,1,3
1945 to 1947,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,4,3
1948,CD,YEAR_REGEX_1,TIME,time_reference,0,4
1953,CD,YEAR_REGEX_1,TIME,time_reference,1,4
1946,CD,YEAR_REGEX_1,TIME,time_reference,1,4
1953,CD,YEAR_REGEX_1,TIME,time_reference,1,4
the fall,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,3,4
of 1957,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,3,4
1967,CD,YEAR_REGEX_1,TIME,time_reference,3,4
1950,CD,YEAR_REGEX_1,TIME,time_reference,1,6
previously,RB,TIMELINE_REGEX,TIME,time_reference,3,6
1953,CD,YEAR_REGEX_1,TIME,time_reference,4,6
1955,CD,YEAR_REGEX_1,TIME,time_reference,4,6
1965,CD,YEAR_REGEX_1,TIME,time_reference,5,6
1974,CD,YEAR_REGEX_1,TIME,time_reference,6,6
"November 22 , 2001","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,7,6
of the 1940s,IN DT NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,1,9
1944,CD,YEAR_REGEX_1,TIME,time_reference,3,9
1956,CD,YEAR_REGEX_1,TIME,time_reference,4,9
1959,CD,YEAR_REGEX_1,TIME,time_reference,9,9
December 1960,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,10,9
1973,CD,YEAR_REGEX_1,TIME,time_reference,0,10
1987,CD,YEAR_REGEX_1,TIME,time_reference,0,10
1955,CD,YEAR_REGEX_1,TIME,time_reference,1,12
that previously,IN RB,PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER TIME,time_reference,1,12
1968,CD,YEAR_REGEX_1,TIME,time_reference,0,14
