time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
May,NNP,MONTH_REGEX,TIME,time_reference,0,0
"March 12 , 1946","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,0
1961,CD,YEAR_REGEX_1,TIME,time_reference,3,0
nightclub,JJ,DAY_TIME_REGEX,TIME,time_reference,3,0
the 1963,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,4,0
1965,CD,YEAR_REGEX_1,TIME,time_reference,4,0
1969,CD,YEAR_REGEX_1,TIME,time_reference,7,0
1972,CD,YEAR_REGEX_1,TIME,time_reference,8,0
1975,CD,YEAR_REGEX_1,TIME,time_reference,9,0
1977,CD,YEAR_REGEX_1,TIME,time_reference,9,0
1988,CD,YEAR_REGEX_1,TIME,time_reference,9,0
1991,CD,YEAR_REGEX_1,TIME,time_reference,9,0
1981,CD,YEAR_REGEX_1,TIME,time_reference,9,0
1977,CD,YEAR_REGEX_1,TIME,time_reference,10,0
1984,CD,YEAR_REGEX_1,TIME,time_reference,10,0
2008,CD,YEAR_REGEX_1,TIME,time_reference,10,0
nightclub,NN,DAY_TIME_REGEX,TIME,time_reference,10,0
the late 1970s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,10,0
1979 and 1987,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,11,0
1991 and 1992,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,11,0
1988 to 1990,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,12,0
1968 to 1977,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,1,1
1989,CD,YEAR_REGEX_1,TIME,time_reference,2,1
2002,CD,YEAR_REGEX_1,TIME,time_reference,3,1
2003 and 2013,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,3,1
the 2010s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,4,1
"March 12 , 1946","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,3
Summertime,NNP,SEASON_REGEX,TIME,time_reference,0,4
1949,CD,YEAR_REGEX_1,TIME,time_reference,0,4
1961,CD,YEAR_REGEX_1,TIME,time_reference,1,4
1961,CD,YEAR_REGEX_1,TIME,time_reference,0,7
1963,CD,YEAR_REGEX_1,TIME,time_reference,2,7
The next year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,0,8
one year,CD NN,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,,2,8
a nightclub,DT JJ,INARTICLE_REGEX DAY_TIME_REGEX,MODIFIER TIME,time_reference,0,10
nightclub,NN,DAY_TIME_REGEX,TIME,time_reference,0,10
year,NN,TIME_UNIT_REGEX,TIME,time_reference,1,10
1964,CD,YEAR_REGEX_1,TIME,time_reference,2,10
1965,CD,YEAR_REGEX_1,TIME,time_reference,2,10
1966,CD,YEAR_REGEX_1,TIME,time_reference,2,10
early years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,3,10
Years,NNS,TIME_UNIT_REGEX,TIME,time_reference,6,10
2001,CD,YEAR_REGEX_1,TIME,time_reference,6,10
1968,CD,YEAR_REGEX_1,TIME,time_reference,0,11
the 1970s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,11
1968,CD,YEAR_REGEX_1,TIME,time_reference,0,11
Saturday Morning,NNP NNP,WEEK_REGEX DAY_TIME_REGEX,TIME TIME,time_reference,0,11
1970,CD,YEAR_REGEX_1,TIME,time_reference,0,11
1973,CD,YEAR_REGEX_1,TIME,time_reference,1,11
Nights,NNP,DAY_TIME_REGEX,TIME,time_reference,1,11
1977,CD,YEAR_REGEX_1,TIME,time_reference,1,11
1989,CD,YEAR_REGEX_1,TIME,time_reference,0,12
Later that year,RB IN NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,2,12
1990,CD,YEAR_REGEX_1,TIME,time_reference,2,12
April 1992,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,13
1996,CD,YEAR_REGEX_1,TIME,time_reference,1,13
Summer,NNP,SEASON_REGEX,TIME,time_reference,2,13
2006,CD,YEAR_REGEX_1,TIME,time_reference,0,14
2009,CD,YEAR_REGEX_1,TIME,time_reference,1,14
"September 21 , 2010","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,2,14
the 2008,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,3,14
Summertime,NNP,SEASON_REGEX,TIME,time_reference,0,16
1949,CD,YEAR_REGEX_1,TIME,time_reference,0,16
1967,CD,YEAR_REGEX_1,TIME,time_reference,1,16
four years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,1,16
1964,CD,YEAR_REGEX_1,TIME,time_reference,2,16
