time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
Five AM,NNP NNP,BASIC_NUMBER_REGEX_1 HALFDAY_REGEX_1,NUMERAL TIME,time_reference,Mark Sixma made his first notable trance music production with Def Tactical whilst also releasing a Project 6 E. P at Five AM Records.,0,2,== Career ==,47885406
of the Week,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"This was followed up by a release called Destination 6 and received 'Tune of the Week’ status on Armin van Buuren’s radio show, A State Of Trance.",1,2,== Career ==,47885406
of the Week,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"His next single led him signing up to record label Armada Music, 'Fade 2 Black' made him once again earn a 'Tune of the Week' status on A State Of Trance.",2,2,== Career ==,47885406
three years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,Armin van Buuren has selected Sixma's tracks for his annual A State Of Trance compilation for three years.,3,2,== Career ==,47885406
2013 Sixma,CD NNP,YEAR_REGEX_1 BASIC_NUMBER_REGEX_1,TIME NUMERAL,,In 2013 Sixma released a single called 'Requiem' on W&W's 'Mainstage Music' label which it made it to the top in the Beatport trance chart and was the most played trance track in 2013.,5,2,== Career ==,47885406
2013,CD,YEAR_REGEX_1,TIME,time_reference,In 2013 Sixma released a single called 'Requiem' on W&W's 'Mainstage Music' label which it made it to the top in the Beatport trance chart and was the most played trance track in 2013.,5,2,== Career ==,47885406
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007,1,5,== Discography == | ==== 2007 ====,47885406
Sixma presents,NNP NNS,BASIC_NUMBER_REGEX_1 TIMELINE_REGEX,NUMERAL TIME,time_reference,"""Destination 6"" (Mark Sixma presents M6)",0,6,== Discography == | ==== 2007 ====,47885406
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008,1,8,== Discography == | ==== 2008 ====,47885406
Dawn,NNP,DAY_TIME_REGEX,TIME,time_reference,"""Amazon Dawn /",0,11,== Discography == | ==== 2008 ====,47885406
Sixma presents,NNP NNS,BASIC_NUMBER_REGEX_1 TIMELINE_REGEX,NUMERAL TIME,time_reference,"There And Back Again"" (Mark Sixma presents M6)",1,11,== Discography == | ==== 2008 ====,47885406
2009,CD,YEAR_REGEX_1,TIME,time_reference,==== 2009 =,0,12,== Discography == | ==== 2009 ====,47885406
Sixma presents,NNP NNS,BASIC_NUMBER_REGEX_1 TIMELINE_REGEX,NUMERAL TIME,time_reference,"""Into The Unknown / Byte Me"" (Mark Sixma presents M6)",0,14,== Discography == | ==== 2009 ====,47885406
