time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"February 7 , 1887 – February 12 , 1983","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0
1921,CD,YEAR_REGEX_1,TIME,time_reference,1,0
Days,NNP,TIME_UNIT_REGEX,TIME,time_reference,2,0
The 1978,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,3,0
Early years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,1,1
"February 7 , 1887","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,2
1883,CD,YEAR_REGEX_1,TIME,time_reference,3,2
2003—U.S,CD,YEAR_REGEX_1,TIME,time_reference,3,2
year,NN,TIME_UNIT_REGEX,TIME,time_reference,3,2
1887,CD,YEAR_REGEX_1,TIME,time_reference,3,2
four or five years old,CD CC CD NNS JJ,BASIC_NUMBER_REGEX_1 LINKAGE_REGEX BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,NUMERAL MODIFIER NUMERAL TIME MODIFIER,time_range,0,4
a week,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,4,4
1907,CD,YEAR_REGEX_1,TIME,time_reference,7,4
the winters,DT NNS,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,8,4
1907 to 1914,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,8,4
summers,NNS,SEASON_REGEX,TIME,time_reference,8,4
two weeks,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,12,4
of Sunday,IN NNP,PREFIX_REGEX_1 WEEK_REGEX,MODIFIER TIME,time_reference,12,4
1899,CD,YEAR_REGEX_1,TIME,time_reference,13,4
12 years old,CD NNS JJ,DIGIT_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,NUMERAL TIME MODIFIER,,13,4
1915,CD,YEAR_REGEX_1,TIME,time_reference,14,4
1912,CD,YEAR_REGEX_1,TIME,time_reference,15,4
June 1921,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,19,4
3 years,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,22,4
1917,CD,YEAR_REGEX_1,TIME,time_reference,23,4
the 1920s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,24,4
1923,CD,YEAR_REGEX_1,TIME,time_reference,25,4
1932,CD,YEAR_REGEX_1,TIME,time_reference,27,4
year,NN,TIME_UNIT_REGEX,TIME,time_reference,28,4
July 1910,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,6
around 1895,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,6
1910,CD,YEAR_REGEX_1,TIME,time_reference,2,6
nightclub,NN,DAY_TIME_REGEX,TIME,time_reference,2,6
1938,CD,YEAR_REGEX_1,TIME,time_reference,3,6
later that year,RBR IN NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,4,6
1945,CD,YEAR_REGEX_1,TIME,time_reference,8,6
1982,CD,YEAR_REGEX_1,TIME,time_reference,9,6
1946,CD,YEAR_REGEX_1,TIME,time_reference,10,6
years,NNS,TIME_UNIT_REGEX,TIME,time_reference,10,6
the next two decades,DT JJ CD NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,11,6
the 1970s and 1980s,DT CD CC CD,PREFIX_REGEX_1 YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,MODIFIER TIME MODIFIER TIME,time_reference,12,6
1969,CD,YEAR_REGEX_1,TIME,time_reference,12,6
The Eighty-Six Years,DT NNP NNP,PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,12,6
of The Tonight,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER MODIFIER TIME,time_reference,13,6
1977,CD,YEAR_REGEX_1,TIME,time_reference,15,6
1975,CD,YEAR_REGEX_1,TIME,time_reference,16,6
"October 9 , 1981","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,17,6
1978,CD,YEAR_REGEX_1,TIME,time_reference,18,6
1981,CD,YEAR_REGEX_1,TIME,time_reference,21,6
Saturday Night,NNP NNP,WEEK_REGEX DAY_TIME_REGEX,TIME TIME,time_reference,22,6
"March 10 , 1979","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,22,6
"February 12 , 1983","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,8
five days,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,0,8
year,NN,TIME_UNIT_REGEX,TIME,time_reference,3,9
1979,CD,YEAR_REGEX_1,TIME,time_reference,4,9
1966,CD,YEAR_REGEX_1,TIME,time_reference,4,9
1969,CD,YEAR_REGEX_1,TIME,time_reference,0,11
The Eighty-Six Years,DT NNP NNP,PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,1,11
