time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
6 June 1975,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Dorsaf Hamdani (Arabic: درصاف حمداني; born 6 June 1975) is a Tunisian singer and musicologist.,0,0,,49170335
1985,CD,YEAR_REGEX_1,TIME,time_reference,"Daughter of a violinist, Hamdani joined the National Conservatory of Music in Tunis in 1985, allowing her to perform with Tunisian Malouf orchestras.",0,2,== Life ==,49170335
1994,CD,YEAR_REGEX_1,TIME,time_reference,"In 1994, she obtained her Bachelor's began her graduate studies, and she earned a master's degree in musicology in 1998.",1,2,== Life ==,49170335
1998,CD,YEAR_REGEX_1,TIME,time_reference,"In 1994, she obtained her Bachelor's began her graduate studies, and she earned a master's degree in musicology in 1998.",1,2,== Life ==,49170335
years,NNS,TIME_UNIT_REGEX,TIME,time_reference,"During her student years, she participated in tours with The Rachidia.",2,2,== Life ==,49170335
Two years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Two years later, she obtained a Masters from the Sorbonne in music and musicology.",3,2,== Life ==,49170335
2010,CD,YEAR_REGEX_1,TIME,time_reference,"In 2010, she took part in the creation of Ivresses, based on the poetry of Omar Khayyam, along with  Alireza Ghorbani which was met with critical and public acclaim.",4,2,== Life ==,49170335
1995,CD,YEAR_REGEX_1,TIME,time_reference,Hamdani won third prize at the Festival of Arab Song in 1995 held in Jordan and the Gold Disc at the Festival of Tunisian Song in 1996.,0,4,== Awards ==,49170335
1996,CD,YEAR_REGEX_1,TIME,time_reference,Hamdani won third prize at the Festival of Arab Song in 1995 held in Jordan and the Gold Disc at the Festival of Tunisian Song in 1996.,0,4,== Awards ==,49170335
December 2016,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In December 2016, Hamdani opened for third season of Muscat Chamber Music Series.",1,4,== Awards ==,49170335
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011 :,0,6,== Discography ==,49170335
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012 :,0,7,== Discography ==,49170335
2012,CD,YEAR_REGEX_1,TIME,time_reference,2012 :,0,8,== Discography ==,49170335
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013 :,0,9,== Discography ==,49170335
