time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
23 December 1946,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,0
1971,CD,YEAR_REGEX_1,TIME,time_reference,2,2
24 June 1973,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,4,2
1973,CD,YEAR_REGEX_1,TIME,time_reference,6,2
1973 and 1974,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,7,2
1974,CD,YEAR_REGEX_1,TIME,time_reference,7,2
The years,DT NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,8,2
1967 to 1970,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,8,2
1973,CD,YEAR_REGEX_1,TIME,time_reference,8,2
1973 to 1974,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,8,2
years,NNS,TIME_UNIT_REGEX,TIME,time_reference,8,2
1974,CD,YEAR_REGEX_1,TIME,time_reference,9,2
1976,CD,YEAR_REGEX_1,TIME,time_reference,9,2
1977,CD,YEAR_REGEX_1,TIME,time_reference,9,2
1995,CD,YEAR_REGEX_1,TIME,time_reference,0,3
15 August 1996,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,2,3
1999,CD,YEAR_REGEX_1,TIME,time_reference,0,4
2005,CD,YEAR_REGEX_1,TIME,time_reference,1,4
2007 and 2008,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,2,4
2009,CD,YEAR_REGEX_1,TIME,time_reference,0,5
The Winter,DT NNP,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,0,5
August 2010,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,5
June 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,6
1974,CD,YEAR_REGEX_1,TIME,time_reference,2,6
April 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,4,6
1974,CD,YEAR_REGEX_1,TIME,time_reference,5,6
2019,CD,YEAR_REGEX_1,TIME,time_reference,6,6
the 1970,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,8
