time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
the next five years,DT JJ CD NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,"ABC News hired her when she broke the story, and she worked with Diane Sawyer for the next five years.",1,4,== Journalism career ==,32865544
a year,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,She then worked at NBC News for a year before taking time off to be a mother.,2,4,== Journalism career ==,32865544
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Love Letters (LML, 2001)",0,11,== Discography ==,32865544
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Love Is the Thing (LML, 2004)",0,12,== Discography ==,32865544
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In My Life (Emmamuse Productions, 2009)",0,13,== Discography ==,32865544
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Who Knows Where the Time Goes (Motéma, 2011)",0,14,== Discography ==,32865544
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Signs of Life (Motéma, 2013)",0,15,== Discography ==,32865544
2017,CD,YEAR_REGEX_1,TIME,time_reference,"Resilience (Resilience, 2017)",0,16,== Discography ==,32865544
