time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
20 December 1899 – 27 August 1975,CD NNP CD NNP CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME MODIFIER NUMERAL TIME TIME,time_range,William Newell Sparks (20 December 1899 – 27 August 1975) was a British/American sound engineer.,0,0,,52603300
the 1939,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,He is notable for his work on the 1939 film The Wizard of Oz.,1,0,,52603300
1939,CD,YEAR_REGEX_1,TIME,time_reference,The Wizard of Oz (1939) (uncredited),0,2,== Selected filmography ==,52603300
