time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"October 8 , 1838 – July 1 , 1905","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0
a century,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,0
1858,CD,YEAR_REGEX_1,TIME,time_reference,1,1
Springfield,NNP,SEASON_REGEX,TIME,time_reference,1,1
several years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,2
1879 to 1881,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,1,2
1897,CD,YEAR_REGEX_1,TIME,time_reference,2,2
the following year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,3,2
almost seven years,RB CD NNS,PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,0,3
"October 8 , 1838","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,6
the early 1830s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,2,6
1818,CD,YEAR_REGEX_1,TIME,time_reference,4,6
1830,CD,YEAR_REGEX_1,TIME,time_reference,4,6
1831,CD,YEAR_REGEX_1,TIME,time_reference,5,6
1841,CD,YEAR_REGEX_1,TIME,time_reference,6,6
1849,CD,YEAR_REGEX_1,TIME,time_reference,7,6
of Springfield,IN NNP,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,8,6
Springfield,NNP,SEASON_REGEX,TIME,time_reference,10,6
1855,CD,YEAR_REGEX_1,TIME,time_reference,0,8
1858,CD,YEAR_REGEX_1,TIME,time_reference,4,8
Springfield,NNP,SEASON_REGEX,TIME,time_reference,6,8
1860,CD,YEAR_REGEX_1,TIME,time_reference,0,10
six months,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,2,10
of Springfield,IN NNP,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,5,10
of the 1860s,IN DT NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,5,10
months,NNS,TIME_UNIT_REGEX,TIME,time_reference,5,10
six months,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,7,10
"February 4 , 1861","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,13
February 11,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,1,13
March 4,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,3,13
year,NN,TIME_UNIT_REGEX,TIME,time_reference,4,13
24 hours,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,5,13
a day,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,5,13
seven days,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,6,13
a week,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,6,13
11 pm,CD NNS,DIGIT_REGEX_1 HALFDAY_REGEX_1,NUMERAL TIME,time_reference,6,13
July 1861,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,12,13
20 hours,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,0,14
a day—he,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,14
four years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,3,14
February 1862,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,4,14
their 1890,PRP$ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,,8,14
August 1861,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,1,16
The following month,DT VBG NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,2,16
April 1863,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,3,16
January 1864,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,5,16
of the 1860,IN DT CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,5,16
a month,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,7,16
February and March 1864,NNP CC NNP CD,MONTH_REGEX LINKAGE_REGEX MONTH_REGEX YEAR_REGEX_1,TIME MODIFIER TIME TIME,time_reference,7,16
July 1864,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,9,16
Falls,NNP,SEASON_REGEX,TIME,time_reference,10,16
the end of 1864,DT NN IN CD,PREFIX_REGEX_1 PREFIX_REGEX_2 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER MODIFIER TIME,time_reference,0,18
March 1865,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,1,18
hundreds of hours,NNS IN NNS,BASIC_NUMBER_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,NUMERAL MODIFIER TIME,time_reference,2,18
the night,DT NN,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,5,18
"of April 14 , 1865","IN NNP CD , CD",PREFIX_REGEX_1 MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,5,18
the night,DT NN,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,7,18
the moment,DT NN,PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER TIME,time_reference,8,18
Now,RB,TIMELINE_REGEX,TIME,time_reference,9,18
1866,CD,YEAR_REGEX_1,TIME,time_reference,12,18
the end of June 1865,DT NN IN NNP CD,PREFIX_REGEX_1 PREFIX_REGEX_2 PREFIX_REGEX_1 MONTH_REGEX YEAR_REGEX_1,MODIFIER MODIFIER MODIFIER TIME TIME,time_reference,0,20
January 1867,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,3,20
early June 1867,JJ NNP CD,PREFIX_REGEX_1 MONTH_REGEX YEAR_REGEX_1,MODIFIER TIME TIME,time_reference,7,20
month,NN,TIME_UNIT_REGEX,TIME,time_reference,8,20
