time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
many years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,He originally played drums for rock bands and showbands for many years before switching to harmonica.,1,0,,47054292
2000,CD,YEAR_REGEX_1,TIME,time_reference,Harmonica (2000),0,3,== Discography == | === Solo work ===,47054292
1998,CD,YEAR_REGEX_1,TIME,time_reference,My Irish Portrait (Antonio Breschi – 1998),0,5,== Discography == | === With other artists ===,47054292
2000,CD,YEAR_REGEX_1,TIME,time_reference,Another Sky (Altan – 2000),0,6,== Discography == | === With other artists ===,47054292
2003,CD,YEAR_REGEX_1,TIME,time_reference,The Best of Altan: The Songs (Altan – 2003),0,7,== Discography == | === With other artists ===,47054292
